"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","collectionCode","locality","notes","citation","doi"
234014029,"905daf20-04fd-11df-8c28-b8a03c50a862",14.796676,56.863137,NA,1930,5,11,"Sweden","40495","Sigrid & Gösta R. Cedergren","UME","General","Biskopsnäset","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A, Stenman K (2017). Herbarium of Umeå University (UME). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/gatdg4 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gatdg4"
234014036,"905daf20-04fd-11df-8c28-b8a03c50a862",16.651006,58.843119,NA,1929,12,23,"Sweden","69397","Erik Evers","UME","General","Ellesta","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A, Stenman K (2017). Herbarium of Umeå University (UME). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/gatdg4 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gatdg4"
1099106018,"7ba21c92-f762-11e1-a439-00145eb45e9a",6.723354,45.37188,NA,1928,9,NA,"France","M-0196140 / 580845 / 252695","Schmidt, A.","SNSB-M","BSMlichenscoll","Savoyische Alpen: Pralognan, Forêt d'Isertan.","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Staatliche Naturwissenschaftliche Sammlungen Bayerns. The Lichen Collection at the Botanische Staatssammlung München. Occurrence dataset https://doi.org/10.15468/lqetda accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/lqetda"
1041921028,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",10.0338,59.0834,"Vestfold",1925,1,5,"Norway","27134/1","Ove Arbo Høeg","TRH","L","Larvik: Dammen","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1041921080,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",9.8643,59.1089,"Vestfold",1923,1,NA,"Norway","27130/1","Ove Arbo Høeg","TRH","L","Brunlanes (Kjose): Kroksengen","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1041930980,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",9.9414,59.0545,"Vestfold",1923,1,19,"Norway","27133/1","Ove Arbo Høeg","TRH","L","SØ. f. Eikedalen","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1041937945,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",9.9587,59.0499,"Vestfold",1923,1,19,"Norway","27140/1","Ove Arbo Høeg","TRH","L","Eikedalen - Ulfsbak","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1041912755,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",9.9858,59.0546,"Vestfold",1922,1,28,"Norway","680475/2","Ove Arbo Høeg","TRH","L","Sky","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1041920952,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",9.9676,59.0543,"Vestfold",1922,1,16,"Norway","27141/1","Ove Arbo Høeg","TRH","L","Nær Tildremyren","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1041937968,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",9.9858,59.0546,"Vestfold",1922,1,28,"Norway","27137/1","Ove Arbo Høeg","TRH","L","Sky","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1041938824,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",9.9676,59.0543,"Vestfold",1922,1,16,"Norway","27136/1","Ove Arbo Høeg","TRH","L","Ved Tildremyren","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1041921054,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",10.0384,59.0897,"Vestfold",1921,1,14,"Norway","27131/1","Ove Arbo Høeg","TRH","L","Isbjeld","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
