"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","institutionCode","stateProvince","collectionCode","notes","citation","doi"
1837799550,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",7.2707,62.9145,2017,7,5,"Norway","Tverrfjell nord for Stormyra","36971/1","Andreas Frisch","TRH","Møre og Romsdal","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1837799572,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",7.2707,62.9144,2017,7,5,"Norway","Tverrfjell nord for Stormyra","37002/1","Andreas Frisch","TRH","Møre og Romsdal","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1837799602,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",7.9295,63.0371,2017,7,6,"Norway","Sallaupen aust: Seterdalen, Aspøya","37068/1","Andreas Frisch","TRH","Møre og Romsdal","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1837799672,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.4428,59.7806,2017,7,16,"Norway","Storavatnet øst","3731/1","Andreas Frisch","TRH","Hordaland","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1837799692,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",5.6508,59.9729,2017,7,21,"Norway","north of Onarheim","3739/1","Andreas Frisch","TRH","Hordaland","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1837799717,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",7.2707,62.9144,2017,7,5,"Norway","Tverrfjell nord for Stormyra","36993/1","Andreas Frisch","TRH","Møre og Romsdal","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1837799731,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",7.1205,62.9191,2017,7,4,"Norway","Lunheim aust","37009/1","Andreas Frisch","TRH","Møre og Romsdal","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1837799741,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",7.1205,62.9191,2017,7,4,"Norway","Lunheim aust","37027/1","Andreas Frisch","TRH","Møre og Romsdal","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
2467684286,"78c1a71e-abb2-49cf-abc8-efafb981b0e4",7.2692,62.9144,2017,7,5,"Norway","Tverrfjell nord for Stormyra","28958/1","Andreas Frisch","TRH","Møre og Romsdal","L","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","NTNU University Museum (2020). Lichen herbarium TRH, NTNU University Museum. Version 10.1219. Occurrence dataset https://doi.org/10.15468/pbejbi accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/pbejbi"
1901093380,"a48c2e76-4984-4540-9bf6-f4d579ed7d99",-2.193795,43.220645,2016,2,10,"Spain","Aia, Aia-Altzolaras-Elkarrain erreka","3007","Olariaga I.","ARAN","Gipuzkoa","Fungi","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Olariaga Ibarguren I (2018). Fungal occurrences from the Basque Country and neighbouring areas: ARAN-Fungi. Version 1.4. Aranzadi Science Society. Occurrence dataset https://doi.org/10.15470/dtsml1 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15470/dtsml1"
