"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","locality","collectionCode","catalogNumber","recordedBy","institutionCode","notes","citation","doi"
621670,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.35018,56.08603,"Skåne",1987,6,20,"Sweden","No locality information available","General","1085888","Ulf Arup & Stefan Ekman","LD","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
621589,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.47533,56.05848,"Skåne",1987,7,29,"Sweden","Årup","General","1050240","Ulf Arup & Stefan Ekman","LD","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
621590,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.98699,55.48596,"Skåne",1987,7,1,"Sweden","No locality information available","General","1050304","Ulf Arup","LD","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
621592,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.18209,56.112,"Skåne",1987,7,29,"Sweden","No locality information available","General","1050432","U. Arup & S. Ekman","LD","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
621594,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",12.99669,56.08818,"Skåne",1987,7,23,"Sweden","No locality information available","General","1050560","Ulf Arup","LD","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
621671,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.51173,55.87403,"Skåne",1987,7,6,"Sweden","No locality information available","General","1085952","Ulf Arup","LD","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
621672,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",13.77479,55.5089,"Skåne",1987,7,3,"Sweden","No locality information available","General","1086016","U. Arup","LD","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
621673,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.50586,56.08145,"Skåne",1987,7,29,"Sweden","No locality information available","General","1086080","Ulf Arup","LD","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
621701,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",12.83006,56.09009,"Skåne",1987,7,21,"Sweden","Rosendal","General","1089232","Ulf Arup","LD","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
621705,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",14.09076,56.08736,"Skåne",1987,12,26,"Sweden","No locality information available","General","1089360","Stefan Ekman","LD","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Wittzell H, Shah M (2020). Lund Botanical Museum (LD). Lund Botanical Museum (LD). Occurrence dataset https://doi.org/10.15468/c4w4co accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/c4w4co"
