"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","collectionCode","locality","notes","citation","doi"
1675788102,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.605228,50.076132,NA,2014,7,15,"Germany","218145",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Untermainebene, Frankfurt, Goldstein, Unterschweinstiegschneise, Waldfriedhof","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675788121,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.583734,50.077225,NA,2014,7,15,"Germany","218130",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Untermainebene, Frankfurt, Schwanheim, Schwanheimer Wald, Rechte Wiese"" östl. der Schwanheimer Bahnstraße""","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2013152155,"7948250c-6958-4a29-a670-ed1015b26252",6.2542,58.3323,"Rogaland",2014,8,13,"Norway","223092","Jon T. Klepsland","O","L","Immerstein S (Rekefjord)","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Natural History Museum, University of Oslo (2020). Lichen herbarium, Oslo (O). Version 1.1331. Occurrence dataset https://doi.org/10.15468/ktu7bj accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/ktu7bj"
1675788116,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.5986,50.083889,NA,2014,9,24,"Germany","221194",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Frankfurt, Schwanheimer Wald","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1061067479,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.197367,50.946383,NA,2014,10,28,"Germany","38441",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","im Sebnitztal","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675793864,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.957317,47.668283,NA,2014,11,15,"Germany","264229",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Regierungsbezirk Oberbayern, Landkreis Weilheim-Schongau, Gemeinde Wildsteig, Wildmoos bei Peustelsau (Probenfläche 894)","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675793877,"828a3d8c-f762-11e1-a439-00145eb45e9a",11.141717,47.636317,NA,2014,11,15,"Germany","264165",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Regierungsbezirk Oberbayern, Landkreis Garmisch-Partenkirchen, Gemeinde Schwaigen, Murnauer Moos, Bärenfilz (Probenfläche 891)","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
2411050734,"b124e1e0-4755-430f-9eab-894f25a9b59c",5.873509,58.930475,"Rogaland",2014,11,11,"Norway","12374269","Endre Nygaard","nbf","so2-lichens","Hetland, Sandnes, Ro","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","The Norwegian Biodiversity Information Centre ., Hoem S (2020). Norwegian Species Observation Service. Version 1.107. The Norwegian Biodiversity Information Centre (NBIC). Occurrence dataset https://doi.org/10.15468/zjbzel accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/zjbzel"
1675794591,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.8564,51.0692,NA,2013,4,23,"Germany","35035-776",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Schönau-Berzdorf, Waldbachtal","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675788213,"828a3d8c-f762-11e1-a439-00145eb45e9a",-1.630283,43.316667,NA,2013,6,25,"France","42748",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","La Rhune, Nordseite, Forêt Tourbiere","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675788219,"828a3d8c-f762-11e1-a439-00145eb45e9a",-1.20945,43.06,NA,2013,6,26,"France","42984",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","unterhalb von Uztarrazu","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675788271,"828a3d8c-f762-11e1-a439-00145eb45e9a",-1.63275,43.316867,NA,2013,6,25,"France","42651",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","La Rhune (Berg), Nordseite","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
1675788277,"828a3d8c-f762-11e1-a439-00145eb45e9a",-1.400833,43.313617,NA,2013,6,24,"France","42504",NA,"FR","Herbarium Senckenbergianum (FR) - Fungi","Laxiatal bei Itxassou, kurz vor der Mündung in die Nive","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Senckenberg. Herbarium Senckenbergianum (FR) - Fungi. Occurrence dataset https://doi.org/10.15468/0oaq5v accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/0oaq5v"
