"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","notes","citation","doi"
1086271109,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,57,1923,7,6,"Sweden","L36483","G. O. Malme","S","Västergötland: Älvsered sn","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
234004512,"905daf20-04fd-11df-8c28-b8a03c50a862",12.86966,57.24593,1923,7,6,"Sweden","68037","Gust. O. A:n Malme","UME",NA,"General",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A, Stenman K (2017). Herbarium of Umeå University (UME). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/gatdg4 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gatdg4"
234004516,"905daf20-04fd-11df-8c28-b8a03c50a862",13.88013,57.91994,1923,7,10,"Sweden","68041","Gust. O. A:n Malme","UME","Mullsjö","General",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A, Stenman K (2017). Herbarium of Umeå University (UME). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/gatdg4 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gatdg4"
1086271224,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",20,67,1921,8,1,"Sweden","L36538","A. H. Magnusson","S","Torne lappmark: Par. Jukkasjärvi, Kopparåsen, alt. 650 m.","S-Fungi","Torne Lappmark","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086232373,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,57,1920,7,12,"Sweden","L16018","Ivar Söderberg","S","Västergötland; Kinnarumma","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
234004515,"905daf20-04fd-11df-8c28-b8a03c50a862",12.91016,57.61702,1920,7,12,"Sweden","41046","Ivar Söderberg","UME",NA,"General",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A, Stenman K (2017). Herbarium of Umeå University (UME). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/gatdg4 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gatdg4"
1086232374,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,57,1919,4,19,"Sweden","L16013","G.A. Ringselle","S","Västergötland; Älvsered","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271222,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,58,1918,6,24,"Sweden","L36531","S. Bergström & C. Bergström","S","Dalsland: Bäcke sn, Kårud, vid Storsjön","S-Fungi","Dalsland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086232333,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",11,58,1918,8,3,"Sweden","L16012","A.H. Magnusson","S","Bohuslän; Ljung; Berg;;","S-Fungi","Bohuslän","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271142,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",11,58,1918,8,5,"Sweden","L36473","A. H. Magnusson","S","Bohuslän: Ödsmål sn, S of Svenshögen","S-Fungi","Bohuslän","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271131,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,57,1916,5,NA,"Sweden","L36491","Carl Sandberg","S","Västergötland: Borås, Ekensberg","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271155,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,57,1916,5,NA,"Sweden","L36500","Carl Sandberg","S","Västergötland: Borås, Ekensberg","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
234004511,"905daf20-04fd-11df-8c28-b8a03c50a862",16.79356,57.25213,1914,6,19,"Sweden","41045","G. Einar Du Rietz","UME","Blå Jungfrun","General",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A, Stenman K (2017). Herbarium of Umeå University (UME). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/gatdg4 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gatdg4"
1086271085,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,57,1908,10,3,"Sweden","L36481","G. A. Ringselle","S","Västergötland: Älvsered sn","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086424618,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,57,1900,NA,NA,"Sweden","F153485","C. J. Neuman","S","Vg. Älfserd","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271093,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,57,1899,NA,NA,"Sweden","L36484","Sten Svensson","S","Västergötland: Älvsered sn, Nygård nära kyrkan","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271156,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,57,1899,NA,NA,"Sweden","L36490","Sten Swensson","S","Västergötland: Bei Nygärd in der Parochie Älvsered","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1065695709,"905daf20-04fd-11df-8c28-b8a03c50a862",12.86966,57.24593,1898,7,NA,"Sweden","59364","G. A. Ringselle","UME",NA,"General",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A, Stenman K (2017). Herbarium of Umeå University (UME). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/gatdg4 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gatdg4"
1086271116,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,57,1898,7,NA,"Sweden","L36482","G. A. Ringselle","S","Västergötland: Älvsered sn","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
2270722225,"98bceab6-3c3e-4163-945d-6ca10576ebf1",13.05,58.016667,1898,7,1,"Sweden","522145","G.A. Ringsalle","ASU",NA,NA,"Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Arizona State University Biocollections (2020). Arizona State University Lichen Herbarium. Occurrence dataset https://doi.org/10.15468/qrwfjc accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qrwfjc"
1086271110,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,57,1897,3,NA,"Sweden","L36492","Carl Stenholm","S","Västergötland: Alingsås","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271243,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,58,1895,NA,NA,"Sweden","L36535","J. Hulting","S","Dalsland: Dalskog sn, Storön in lacu Erve","S-Fungi","Dalsland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271148,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",13,57,1893,3,21,"Sweden","L36493","Carl Stenholm","S","Västergötland: Dalum sn, Vinsarp","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271209,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",13,57,1893,10,NA,"Sweden","L36519","Carl Stenholm","S","Västergötland: Ulricehamn","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
234004508,"905daf20-04fd-11df-8c28-b8a03c50a862",11.61518,57.89177,1892,9,5,"Sweden","68038","Carl Stenholm","UME","Koön","General",NA,"proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A, Stenman K (2017). Herbarium of Umeå University (UME). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/gatdg4 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/gatdg4"
1086271103,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",11,58,1891,7,NA,"Sweden","L36466","G. O. Malme","S","Bohuslän: Kville sn, Norra Väderöarna, Storö","S-Fungi","Bohuslän","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271168,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",14,58,1887,7,NA,"Sweden","L36529","G. O. Malme","S","Östergötland: Ödeshög sn, Örninge","S-Fungi","Östergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271097,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",11,58,1884,NA,NA,"Sweden","L36474","P. J. Hellbom","S","Bohuslän: Orust, Röra sn, vid Henån","S-Fungi","Bohuslän","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271201,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,57,1880,7,NA,"Sweden","L36521","K. B. J. Forssell","S","Västergötland: Töllsjö sn","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271220,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,57,1880,7,NA,"Sweden","L36520","K. B. J. Forssell","S","Västergötland: Töllsjö sn","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
1086271202,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",12,57,1880,8,NA,"Sweden","L36522","K. B. J. Forssell","S","Västergötland: Kinnarumma sn, Töllesjö","S-Fungi","Västergötland","proper GBIF citations were not initially included here and were added subsequently on 20 November 2020","Telenius A (2016). Fungi (S). GBIF-Sweden. Occurrence dataset https://doi.org/10.15468/qfmb77 accessed via GBIF.org on 2020-11-20.. Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2020-11-20","https://doi.org/10.15468/qfmb77"
