"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","locality","collectionCode","catalogNumber","recordedBy","institutionCode"
29517924,"83492a58-f762-11e1-a439-00145eb45e9a",-6,42,"Za",1996,9,7,"Spain","""Galende, Parque Natural """"Lago de Sanabria"""", valle del río Tera""","MA-Lichen","8844-1","G. Aragón, J.L. Castillo & A. Herrero","MA"
29517998,"83492a58-f762-11e1-a439-00145eb45e9a",-6,42,"Za",1996,9,27,"Spain","""Galende, Parque Natural """"Lago de Sanabria"""", río de la Forcadura, cerca de Maragatos""","MA-Lichen","9174-1","G. Aragón, J.L. Castillo & A. Herrero","MA"
29517848,"83492a58-f762-11e1-a439-00145eb45e9a",-4,39,"To",1995,1,5,"Spain","San Pablo de los Montes, Las Navillas, Montes de Toledo, arroyo del Marchés","MA-Lichen","7208-1","G. Aragón & I. Martínez","MA"
29517816,"83492a58-f762-11e1-a439-00145eb45e9a",-4,39,"To",1995,3,26,"Spain","Los Navalucillos, Montes de Toledo, Las Becerras, arroyo del Chorro","MA-Lichen","7001-1","G. Aragón & I. Martínez","MA"
31297311,"835f8992-f762-11e1-a439-00145eb45e9a",-2.92,37.970001,"J",1995,3,22,"Spain","La Iruela, Sierra de Cazorla, cortijo del Carrascal","MAF-Lich","8439-1","G. Aragón & I. Martínez","MAF"
29517824,"83492a58-f762-11e1-a439-00145eb45e9a",-4,39,"To",1995,6,10,"Spain","Hontanar, Montes de Toledo, río Estena","MA-Lichen","7069-1","G. Aragón, A. Herrero & I. Martínez","MA"
1851695784,"2a89fac8-e079-419e-8883-70a4cd9c25e1",-6.73,42.84,"Leon",1995,7,26,"Spain","Suertes de Ancares","LICHEN","3555-1","Llamas, Úbeda, Terrón, Amaya & Álvarez","LEB"
29517803,"83492a58-f762-11e1-a439-00145eb45e9a",-3,41,"So",1995,11,4,"Spain","Montejo de Tiermes, Torresuso, arroyo de Montejo","MA-Lichen","6905-1","G. Aragón & A. Herrero","MA"
29517620,"83492a58-f762-11e1-a439-00145eb45e9a",-5,36,"Ca",1994,4,18,"Spain","Jerez de la Frontera, canuto del Caballo, carretera de Alcalá de los Gazules a Pto. Galis, Km. 16","MA-Lichen","5725-1","J. Etayo, M. Casares, A. Gómez-Bolea & al.","MA"
29517624,"83492a58-f762-11e1-a439-00145eb45e9a",-5,36,"Ca",1994,4,17,"Spain","Jerez de la Frontera, Mojón de la Víbora, carretera C3331 km 33. Teucrio baetici-Querceto rotundifoliae sigm","MA-Lichen","5750-1","J. Etayo, M. Casares, A. Gómez-Bolea & al.","MA"
29517545,"83492a58-f762-11e1-a439-00145eb45e9a",-5,40,"Av",1992,6,10,"Spain","Mazalinos. Sierra del Tremedal","MA-Lichen","4628-1","I.Ibáñez","MA"
1929607460,"d415c253-4d61-4459-9d25-4015b9084fb0",6.625,61.21,"Sogn og Fjordane",1992,7,26,"Norway","Leikanger, Eitorn, farm Vestreim.","NY","02341656","T. Tønsberg","NY"
1851697713,"2a89fac8-e079-419e-8883-70a4cd9c25e1",-6.61,42.83,"Leon",1990,4,4,"Spain","Bárcena de la Abadía","LICHEN","2267-1","A.Terrón","LEB"
1851693074,"2a89fac8-e079-419e-8883-70a4cd9c25e1",-6.74,42.84,"Leon",1988,9,15,"Spain","Burbia","LICHEN","824-1","A.Terrón","LEB"
1851698393,"2a89fac8-e079-419e-8883-70a4cd9c25e1",-6.74,42.84,"Leon",1988,9,15,"Spain","Burbia","LICHEN","854-1","A.Terrón","LEB"
1851699404,"2a89fac8-e079-419e-8883-70a4cd9c25e1",-6.74,42.84,"Leon",1988,9,15,"Spain","Burbia","LICHEN","838-1","A.Terrón","LEB"
1851698802,"2a89fac8-e079-419e-8883-70a4cd9c25e1",-5.02,43.02,"Leon",1987,7,7,"Spain","Valle de Mirva-Burón","LICHEN","866-1","A.Terrón","LEB"
1212090714,"85739778-f762-11e1-a439-00145eb45e9a",-5.3,56.5,NA,1981,3,25,"United Kingdom","GROSSBRITANNIEN, Schottland: Alte Laubbäume und einzelne Felsblöcke 2 km SE Barcaldine, etwa 16 km NE Oban.","Lichen Herbarium Berlin","190398","A. Buschardt","B"
1212090735,"85739778-f762-11e1-a439-00145eb45e9a",-5.4,56.4833,NA,1981,3,25,"United Kingdom","GROSSBRITANNIEN/ Schottland: Küste mit alten Laubbäumen an der Nordküste des Loch Etive, etwa 13 km NE Oban.","Lichen Herbarium Berlin","190367","A. Buschardt","B"
1503045536,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",12.8333,42.8333,NA,1952,8,NA,"Italy",NA,"Botany","C0067603F","C. Sbarbaro","F"
234004264,"905daf20-04fd-11df-8c28-b8a03c50a862",9.04937,48.54851,NA,1930,8,NA,"Germany",NA,"General","44039","A[.]ön[.]","UME"
1503045051,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",12.8333,42.8333,NA,1928,7,28,"Italy",NA,"Botany","C0066287F","G. Gresino","F"
442142102,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.63,47.806667,NA,1922,5,7,"Germany","Baden: Oberhalb Obereggenen (bei Müllheim), 400 m.","Blettaucoll","B 60 0086353 / 152255 / 92541","Lettau, G.","B"
442142103,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.605834,47.711113,NA,1921,5,1,"Germany","Baden: Tannenkirch - Holzen (bei Lörrach), 300 m.","Blettaucoll","B 60 0111688 / 147689 / 90828","Lettau, G.","B"
442142104,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.661667,47.612778,NA,1912,11,10,"Germany","Baden: Lörrach - Waidhof","Blettaucoll","B 60 0111690 / 147691 / 90829","Lettau, G.","B"
440662834,"b258e0d8-d282-4d84-898a-655c5375f645",-9.51,52.06,"Munster",1854,NA,NA,"Ireland","Killarney, County Kerry, Munster","H-NYL","H9201798",NA,"H"
1086296049,"fe35d6a0-0c6e-11dd-84d2-b8a03c50a862",13,56,"Småland (Inre)",1851,6,21,"Sweden","Småland: Femsjö sn, S. Bökeborg","S-Fungi","L49041","T. M. Fries","S"
1503045537,"aec6d756-3aa8-465e-83fd-4f6ee83e693e",2,46,NA,1818,NA,NA,"France",NA,"Botany","C0067609F","J. A. Mougeot & C. G. Nestler","F"
