"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode","b1test","name"
788472384,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.046667,53.592222,"Niedersachsen",2006,"11",NA,"Germany","1226566","Uwe de Bruyn","LD","Sengwarden","General","GBIF",NA,87,"Diploicia canescens"
1212094716,"85739778-f762-11e1-a439-00145eb45e9a",6.6233,50.2217,NA,2005,"5",5,"Germany","67735","H. Sipman","B","GERMANY, Rheinland-Pfalz, Kr. Daun: Wöllersberg, N of Lissingen near Gerolstein. Alt. c. 400 m.","Lichen Herbarium Berlin","GBIF",NA,76,"Diploicia canescens"
991956574,"828a3d8c-f762-11e1-a439-00145eb45e9a",7.221383,53.414167,NA,2004,"10",23,"Germany","22271",NA,"FR","Suurhusen, bei der Kirche","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,89,"Diploicia canescens"
1675760900,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.129167,49.355,NA,1999,"5",15,"Germany","67286",NA,"FR","Haardt, The Wolfsberg northwest near Neustadt a. d. Weinstraße, southeastslope, (abandoned) vineyard","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,96,"Diploicia canescens"
1212098084,"85739778-f762-11e1-a439-00145eb45e9a",16.3833,47.3167,NA,1991,"4",11,"Austria","138241","J. Hafellner & W. Maurer","B","AUSTRIA, Burgenland, Günser Gebirge, 5 km WNW Rechnitz, vineyard S of Althodis. Alt. 440 m.","Lichen Herbarium Berlin","GBIF",NA,82,"Diploicia canescens"
2513315605,"15f819bd-6612-4447-854b-14d12ee1022d",5.12,52.09,"Utrecht",1988,"1",30,"Netherlands","L  0829585","Bakker S",NA,"Lepelenburg, Utrecht.","Botany","GBIF",NA,93,"Diploicia canescens"
2237883463,"84d26682-f762-11e1-a439-00145eb45e9a",9.954466,54.96565,NA,1979,"8",19,"Denmark","DMS-1019658","Knud Ramkær",NA,"Asserballe",NA,"GBIF",NA,81,"Diploicia canescens"
2237876981,"84d26682-f762-11e1-a439-00145eb45e9a",11.60039,54.72227,NA,1977,"7",23,"Denmark","DMS-1013974","Mogens Skytte Christiansen",NA,"Godsted",NA,"GBIF",NA,81,"Diploicia canescens"
2237907306,"84d26682-f762-11e1-a439-00145eb45e9a",9.750667,54.950635,NA,1972,"2",12,"Denmark","DMS-1043427","Svanhildur Svane",NA,"Sandbjerg Gods",NA,"GBIF",NA,82,"Diploicia canescens"
1270675813,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.26905,50.919533,NA,2015,"10",13,"Germany","42850",NA,"FR","Kleiner Zschand","Herbarium Senckenbergianum (FR) - Fungi","GBIF",NA,76,"Fellhanera bouteillei"
