"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","DB","BBarcode"
1935689200,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.825,47.30139,NA,2003,"5",10,"Austria","0043190","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Pöllau, an der Straße nach In der Eben, Straßenknick nach N ca. 500 m W des dicht verbauten Siedlungsgebietes von Pöllau, ca 1 km E des Gutes Lehenshofen [460 m, 8660/4 (47°18'05""N, 15°49'30""E ±200 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau, Katastralgemeinde Pöllau]","Herbarium GJO","GBIF",NA
1935689206,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.79944,47.33694,NA,2003,"5",1,"Austria","0042642","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Sonnhofen, Köppelreith, Sternbauerkogel, Kugelbuche, ca. 230 m NW des Sternbauerkogels [707 m, 8660/4 (47°20'13""N, 15°47'58""E ±200 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau]","Herbarium GJO","GBIF",NA
1935689208,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.77083,47.30833,NA,2003,"5",10,"Austria","0042805","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Rabenwald, Oberer Rabenwald, In der Eben, ca. 200 m S bis 500 m W von Mauerhöf [740 m, 8660/4 (47°18'30""N, 15°46'15""E ±800 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau, Katastralgemeinde Rabenwald]","Herbarium GJO","GBIF",NA
1935689213,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.81944,47.34167,NA,2003,"5",1,"Austria","0043289","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Sonnhofen, Prätis, ca. 700 m WSW unterhalb Straßhöf, ca. 300 m NNE des Sägewerkes, am Oberen Rand des Waldes [570 m, 8660/4 (47°20'30""N, 15°49'10""E ±300 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau]","Herbarium GJO","GBIF",NA
1935689219,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.84444,47.29861,NA,2003,"5",16,"Austria","0043236","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Pöllauberg, ""Bergwald"", ca. 550 m E bis SE des Ortskernes von Pöllau [440 m, 8761/1 (47°17'55""N, 15°50'40""E ±200 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllauberg]","Herbarium GJO","GBIF",NA
1935689201,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.86944,47.275,NA,2003,"6",4,"Austria","0042513","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Schönegg, Schönau bei Pöllau, an der Außenseite des Teichdammes [8761/1 (47°16'30""N, 15°52'10""E ±250 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau]","Herbarium GJO","GBIF",NA
991891085,"61a9ca38-b62f-11e2-afcb-00145eb45e9a",12.9,47.6,NA,2003,"6",22,"Germany","KR-M-0002377 / 481625 / 8304",NA,"SMNK","Soleleitungsweg, ca 500m östl. des Berggasthofes ""Zipfhäusl""","SMNKfungicoll","GBIF",NA
1657181321,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",13.60278,46.40278,NA,2003,"7",2,"Slovenia","000315501","Mayrhofer,Helmut","GZU","[Primorska] Southern Alps, Julian Alps, Koritinca valley NNE of Bovec, by the village Log pod Margartom, NE of Spodnji Log","Herbarium GZU","GBIF",NA
1657181326,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",13.65833,46.31667,NA,2003,"7",6,"Slovenia","000315473","Mayrhofer,Helmut","GZU","[Primorska] Southern Alps, Julian Alps, Lepena valley SSW of Soča (E of Bovec), on the riverbank of Lepenca","Herbarium GZU","GBIF",NA
1657181333,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",13.63472,46.36944,NA,2003,"7",4,"Slovenia","000315520","Mayrhofer,Helmut","GZU","[Primorska] Southern Alps, Julian Alps, Bavšica valley NE of Bovec, E of Zgornja Bavšica","Herbarium GZU","GBIF",NA
