"key","datasetKey","decimalLongitude","decimalLatitude","stateProvince","year","month","day","country","catalogNumber","recordedBy","institutionCode","collectionCode","locality","DB","BBarcode","b1test","name"
1099105997,"7ba21c92-f762-11e1-a439-00145eb45e9a",16.337872,50.473305,NA,1957,"9",19,"Poland","M-0196128 / 580833 / 252683","Tobolewski, Z.R.","SNSB-M","BSMlichenscoll","Pieniny (pow. Nowy Targ), pasmo Pieninek. Na pniu i galęziach jodły poniżej Białych Skał. - Carpati Occ., iugum Pieniny, prope rupes Białe Skały. 670 m. s. m.","GBIF",NA,54,"Usnea florida"
1273868035,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",20.30085,49.84203,"Malopolskie",1957,"9",19,"Poland","1896008","Z. Tobolewski","LD","General","No locality information available","GBIF",NA,82,"Usnea florida"
1099104838,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.097307,47.409897,NA,1954,"6",NA,"Germany","M-0103160 / 538098 / 221201","Schacht","SNSB-M","BSMlichenscoll","Wettersteingebirge. Am Weg zum Schachen.","GBIF",NA,16,"Usnea florida"
1099107183,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.774692,47.538048,NA,1954,"10",30,"Germany","M-0196611 / 581244 / 253094","Schröppel, A.","SNSB-M","BSMlichenscoll","Allgäu, Bleckenau Lk.s Füssen bei Hohenschwangau, bei den Hütten, ±1170 mtr.","GBIF",NA,41,"Usnea florida"
NA,NA,9.534582,49.97143,NA,1954,"5. Aug.",NA,"GERMANY","100695","O. Behr","BERLIN_DB",NA,"DEUTSCHLAND, Bayern: Spessart. Rechtenbachtal: Mischwald. Alt. 250 m.","BERLIN_DB","B 60 0091145",84,"Usnea florida"
NA,NA,9.520194,49.974728,NA,1954,"5. Aug.",NA,"GERMANY","100697","O. Behr","BERLIN_DB",NA,"DEUTSCHLAND, Bayern: Spessart. Rechtenbachtal: Mischwald. Alt. 300 m.","BERLIN_DB","B 60 0091154",84,"Usnea florida"
NA,NA,6.457255,49.845674,NA,1954,"15. Okt.",NA,"GERMANY","97768","H. Breuer","BERLIN_DB",NA,"DEUTSCHLAND, Rheinland-Pfalz: Kr. Bitburg, Irrel, Güntherhof.","BERLIN_DB","B 60 0141457",87,"Usnea florida"
1099107177,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.494261,47.553638,NA,1952,"7",2,"Germany","M-0196609 / 581243 / 253093","Schröppel, A.","SNSB-M","BSMlichenscoll","Allgäu, Bärenmossalm bei Pfronten, Lks Füssen, ± 1400 mtr.","GBIF",NA,52,"Usnea florida"
1099107174,"7ba21c92-f762-11e1-a439-00145eb45e9a",10.776772,47.538525,NA,1952,NA,NA,"Germany","M-0196616 / 581247 / 253097","Klement, O.","SNSB-M","BSMlichenscoll","Allgäu: Kr. Füssen, Blöckenau oberh. d. Hütte, 1200 m.","GBIF",NA,41,"Usnea florida"
NA,NA,9.083063,49.647163,NA,1951,"1. Mai",NA,"GERMANY","100678","Otto Behr","BERLIN_DB",NA,"DEUTSCHLAND, Hessen: Krs. Erbach-Odenwald, Würzberg, Wegrand im Walde. Alt. 500 m.","BERLIN_DB","B 60 0091153",84,"Usnea florida"
NA,NA,10.357287,47.484164,NA,1951,"26-Jul",NA,"GERMANY","118059","V. J. Grummann","BERLIN_DB",NA,"DEUTSCHLAND, Bayern: Allgäuer Alpen, Imberger Horn. Alt. c. 1600 m.","BERLIN_DB","",49,"Usnea florida"
1273866781,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",8.543333,48.761111,"Baden-Württemberg",1949,"4",13,"Germany","1884364","E. Putzler","LD","General","Wildbader Kopf","GBIF",NA,84,"Usnea florida"
1099107242,"7ba21c92-f762-11e1-a439-00145eb45e9a",13.13555,49.112762,NA,1949,"10",NA,"Germany","M-0196617 / 581248 / 253098","Hübschmann, A. v.","SNSB-M","BSMlichenscoll","Oberpfalz, Bayrischer Wald, Gr. Arber. In 1000 mt Höhe.","GBIF",NA,40,"Usnea florida"
1099104848,"7ba21c92-f762-11e1-a439-00145eb45e9a",11.348104,47.491852,NA,1948,NA,NA,"Germany","M-0103158 / 538096 / 221199","Mägdefrau, K.","SNSB-M","BSMlichenscoll","Fl. v. Bayern. Mittenwald: Am Soiernsee. 1540 m.","GBIF",NA,28,"Usnea florida"
NA,NA,10.32107,50.109657,NA,1948,"15. Aug.",NA,"GERMANY","22255","O. Behr","BERLIN_DB",NA,"DEUTSCHLAND, HESSEN. Krs. Erbach-Odenwald. Hesselbach. Alt. 300 m.","BERLIN_DB","",81,"Usnea florida"
