"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","DB","BBarcode","b1test","name"
1676071496,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.996194,49.670389,2014,"4",27,"Germany","217292",NA,"FR","Michelstadt, auf einem Parkplatz am Roßbacher Weg, Untersuchungsgebiet 2, Aufnahmebaum 6","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,93,"Punctelia subrudecta"
1676071526,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.664972,49.876528,2014,"6",22,"Germany","217356",NA,"FR","Darmstadt, Mathildenhöhe/Nikolaiweg, Untersuchungsgebiet 4, Aufnahmebaum 6","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,97,"Punctelia subrudecta"
1676071581,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.698056,50.127889,2014,"6",17,"Germany","217365",NA,"FR","Frankfurt am Main, Eckenheimer Landstraße, Untersuchungsgebiet 5, Aufnahmebaum 2","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,98,"Punctelia subrudecta"
1676071613,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.583734,50.077225,2014,"7",15,"Germany","218131",NA,"FR","Untermainebene, Frankfurt, Schwanheim, Schwanheimer Wald, Rechte Wiese"" östl. der Schwanheimer Bahnstraße""","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,97,"Punctelia subrudecta"
1676071604,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.589444,50.077867,2014,"9",23,"Germany","221182",NA,"FR","Frankfurt, Schwanheimer Wald","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,97,"Punctelia subrudecta"
1061246641,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.193617,50.946667,2014,"10",28,"Germany","38440",NA,"FR","Sebnitztal","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,78,"Punctelia subrudecta"
1086983739,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.87075,51.29705,2014,"10",2,"Germany","38768",NA,"FR","Königshöhe, 350 m WNW","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,89,"Punctelia subrudecta"
1676071614,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.580556,50.08045,2014,"11",26,"Germany","221339",NA,"FR","Frankfurt, Schwanheimer Wald","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,97,"Punctelia subrudecta"
1676071621,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.5775,50.080367,2014,"11",26,"Germany","221333",NA,"FR","Frankfurt, Schwanheimer Wald","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,97,"Punctelia subrudecta"
1099343027,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.6622,50.253633,2013,"8",27,"Germany","39260",NA,"FR","Bei Frichdrichsdorf - Burgholzhausen, Autobahnrastplatz","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,91,"Punctelia subrudecta"
1233566521,"828a3d8c-f762-11e1-a439-00145eb45e9a",16.551067,45.911667,2013,"8",28,"Croatia","37514",NA,"FR","bei Stari Glog","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,104,"Punctelia subrudecta"
1212224590,"85739778-f762-11e1-a439-00145eb45e9a",5.26,52.1433,2013,"12",28,"Netherlands","186228","H. Sipman & A. Aptroot","B","THE NETHERLANDS, Utrecht: Soesterberg, former airfield, near ecoduct Op Hees. Alt. 10 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,92,"Punctelia subrudecta"
788729059,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",6.203056,45.826944,2011,"1",8,"France","1493960","A. Thell","LD","Duingt","General","Auvergne-Rhône-Alpes","GBIF",NA,91,"Punctelia subrudecta"
914864638,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.532217,51.926383,2011,"3",27,"Germany","29452",NA,"FR","zwischen Tauer & Bärenklau, unweit von Krolls Lauch","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,90,"Punctelia subrudecta"
1676070722,"828a3d8c-f762-11e1-a439-00145eb45e9a",10.803611,45.748333,2011,"6",20,"Italy","67838",NA,"FR","Prov. Verona, Lago di Garda, Malcesine, Loc. Caris, Via Caris","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,84,"Punctelia subrudecta"
914864456,"828a3d8c-f762-11e1-a439-00145eb45e9a",13.87195,51.517783,2011,"8",16,"Germany","29518",NA,"FR","Schipkau","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,89,"Punctelia subrudecta"
914864555,"828a3d8c-f762-11e1-a439-00145eb45e9a",14.691667,50.92805,2011,"9",30,"Germany","31822",NA,"FR","Niederoderwitz","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,75,"Punctelia subrudecta"
1676069877,"828a3d8c-f762-11e1-a439-00145eb45e9a",8.2725,50.141111,2011,"12",3,"Germany","218395-P3404",NA,"FR","Wiesbaden, Naurod. Taunus, nordwestlich Kellerskopf im Trockenborn.","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,78,"Punctelia subrudecta"
1212215412,"85739778-f762-11e1-a439-00145eb45e9a",13.1232,52.4332,2010,"8",30,"Germany","122071","H. Sipman, P. & B. v.d. Boom","B","GERMANY, Berlin: southern part of lake Wannsee, island Pfaueninsel. Alt. c. 40 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,92,"Punctelia subrudecta"
1212209505,"85739778-f762-11e1-a439-00145eb45e9a",9.0217,53.445,2008,"4",6,"Germany","103399","H. Sipman","B","DEUTSCHLAND, Niedersachsen: Landkr. Landkreis Rotenburg (Wümme). Oese E of Basdahl, near the church. MTB 2520/3A2. Elev. 20 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,85,"Punctelia subrudecta"
914864692,"828a3d8c-f762-11e1-a439-00145eb45e9a",5.307783,46.32195,2005,"7",11,"France","22285",NA,"FR","Bourg en Bresse, ca. 16 km N, Rastplatz an der Straße N 83 von NE in Richtung Lyon","Herbarium Senckenbergianum (FR) - Fungi",NA,"GBIF",NA,109,"Punctelia subrudecta"
1935715677,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.83389,47.30639,2003,"4",1,"Austria","0043163","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Pöllau, Ortsgebiet von Pöllau, Aupark ca. 400 m N von Schloss Pöllau [425 m, 8661/3 (47°18'23""N, 15°50'02""E ±200 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau, Katastralgemeinde Pöllau]","Herbarium GJO",NA,"GBIF",NA,72,"Punctelia subrudecta"
1935715680,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.74667,47.33639,2003,"4",1,"Austria","0042952","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Saifen-Boden, Winkl-Boden, ca, 500 m S Gschaidwirt, W unterhalb an die Landesstraße anschließend [790 m, 8660/3 (47°20'11""N, 15°44'48""E ±300 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau]","Herbarium GJO",NA,"GBIF",NA,60,"Punctelia subrudecta"
1935715690,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.87583,47.25917,2003,"4",18,"Austria","0042573","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Schönegg, Schönau, am Unterlauf des Kroisbaches zwischen Schönaudorf und der Einmündung in die Pöllauer Safen [360 m, 8761/1 (47°15'33""N, 15°52'33""E ±200 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau]","Herbarium GJO",NA,"GBIF",NA,82,"Punctelia subrudecta"
1935715710,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.85417,47.26528,2003,"4",18,"Austria","0042592","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Schönegg, Hinteregg, am Kroisbach oberhalb Schönau, Unterhang und Au am Kroisbach, NE bis NNE des Gehöftes Holzmann [410 m, 8761/1 (47°15'55""N, 15°51'15""E ±300 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau]","Herbarium GJO",NA,"GBIF",NA,80,"Punctelia subrudecta"
1935715791,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.84167,47.25556,2003,"4",18,"Austria","0044306","Suppan,Ursula","GJO","[Österreich, Steiermark]  Naturpark Pöllauer Tal: Gmde Schönegg, Lehen, Föhrenwald WSW Ghf. Schrank [640 m, 8761/1 (47°15'20""N, 15°50'30""E ±250 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau]","Herbarium GJO",NA,"GBIF",NA,80,"Punctelia subrudecta"
1935715627,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.79944,47.33694,2003,"5",1,"Austria","0042652","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Sonnhofen, Köppelreith, Sternbauerkogel, Kugelbuche, ca. 230 m NW des Sternbauerkogels [707 m, 8660/4 (47°20'13""N, 15°47'58""E ±200 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau]","Herbarium GJO",NA,"GBIF",NA,63,"Punctelia subrudecta"
1935715663,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.81944,47.34167,2003,"5",1,"Austria","0042674","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Sonnhofen, Prätis, ca. 700 m WSW unterhalb Straßhöf, ca. 300 m NNE des Sägewerkes, am Oberen Rand des Waldes [570 m, 8660/4 (47°20'30""N, 15°49'10""E ±300 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau]","Herbarium GJO",NA,"GBIF",NA,63,"Punctelia subrudecta"
1935715669,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.77083,47.30833,2003,"5",10,"Austria","0042804","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Rabenwald, Oberer Rabenwald, In der Eben, ca. 200 m S bis 500 m W von Mauerhöf [740 m, 8660/4 (47°18'30""N, 15°46'15""E ±800 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau, Katastralgemeinde Rabenwald]","Herbarium GJO",NA,"GBIF",NA,62,"Punctelia subrudecta"
1935715684,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.87917,47.28056,2003,"5",17,"Austria","0042448","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Schönegg, Söllnerdorf ca. 1 km NNW Winzendorf, zwischen der Hochstraße nach Pöllauberg und den Kartteichen [405 m, 8761/1 (47°16'50""N, 15°52'45""E ±200 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau]","Herbarium GJO",NA,"GBIF",NA,82,"Punctelia subrudecta"
1935715703,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.79472,47.29611,2003,"5",9,"Austria","0042827","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Rabenwald, Haregg, ca. 70 m E des Gehöftes Heil [670 m, 8760/2 (47°17'46""N, 15°47'41""E ±100 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau, Katastralgemeinde Rabenwald]","Herbarium GJO",NA,"GBIF",NA,76,"Punctelia subrudecta"
1935715712,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.825,47.30139,2003,"5",10,"Austria","0043196","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Pöllau, an der Straße nach In der Eben, Straßenknick nach N ca. 500 m W des dicht verbauten Siedlungsgebietes von Pöllau, ca 1 km E des Gutes Lehenshofen [460 m, 8660/4 (47°18'05""N, 15°49'30""E ±200 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau, Katastralgemeinde Pöllau]","Herbarium GJO",NA,"GBIF",NA,76,"Punctelia subrudecta"
1935715724,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.84444,47.29861,2003,"5",16,"Austria","0043241","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Pöllauberg, ""Bergwald"", ca. 550 m E bis SE des Ortskernes von Pöllau [440 m, 8761/1 (47°17'55""N, 15°50'40""E ±200 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllauberg]","Herbarium GJO",NA,"GBIF",NA,72,"Punctelia subrudecta"
1935715730,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.83194,47.30278,2003,"5",16,"Austria","0043104","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Pöllau, Ortsgebiet von Pöllau, Schlosspark unmitelbar WSW von Schloss Pöllau [430 m, 8660/4 (47°18'10""N, 15°49'55""E ±200 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau, Katastralgemeinde Pöllau]","Herbarium GJO",NA,"GBIF",NA,76,"Punctelia subrudecta"
1935715808,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.8125,47.30694,2003,"5",10,"Austria","0042724","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Rabenwald, an der Straße von Pöllau zum Gehöft Wirtpoldl, ca. 300 m NE vom Schloss Lehenshofen [480 m, 8660/4 (47°18'25""N, 15°48'45""E ±300 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau, Katastralgemeinde Rabenwald]","Herbarium GJO",NA,"GBIF",NA,76,"Punctelia subrudecta"
1935715691,"5830fa3c-497c-4d37-b771-bd6c84997f2c",15.86944,47.275,2003,"6",4,"Austria","0042517","Suppan,Ursula","GJO","[Österreich, Steiermark; Naturpark Pöllauer Tal]  Gmde. Schönegg, Schönau bei Pöllau, an der Außenseite des Teichdammes [8761/1 (47°16'30""N, 15°52'10""E ±250 m) Bezirk Hartberg-Fürstenfeld, Gemeinde Pöllau]","Herbarium GJO",NA,"GBIF",NA,80,"Punctelia subrudecta"
1638417539,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",13.65833,46.31667,2003,"7",6,"Slovenia","000315476","Mayrhofer,Helmut","GZU","[Primorska] Southern Alps, Julian Alps, Lepena valley SSW of Soča (E of Bovec), on the riverbank of Lepenca","Herbarium GZU",NA,"GBIF",NA,64,"Punctelia subrudecta"
1638417827,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",13.60278,46.40278,2003,"7",2,"Slovenia","000315510","Mayrhofer,Helmut","GZU","[Primorska] Southern Alps, Julian Alps, Koritinca valley NNE of Bovec, by the village Log pod Margartom, NE of Spodnji Log","Herbarium GZU",NA,"GBIF",NA,68,"Punctelia subrudecta"
1657195700,"fb8ae15d-e30c-44b4-8f61-0bb0c1d90ff9",13.55556,46.31944,2003,"7",4,"Slovenia","000325440","Mayrhofer,Helmut","GZU","[Primorska] Southern Alps, Julian Alps, Cezsoča S of Bovec, SE above the village","Herbarium GZU",NA,"GBIF",NA,82,"Punctelia subrudecta"
1717204674,"cef8bb20-149a-11de-bab0-b8a03c50a862",16.962276,50.322979,2003,"7",27,"Poland",NA,"Szczepańska, K.","MNHW","p: dolnośląskie; c: Kłodzko; Nowy Gierałtów",NA,"dolnośląskie","GBIF",NA,56,"Punctelia subrudecta"
