"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","catalogNumber","recordedBy","institutionCode","locality","collectionCode","stateProvince","DB","BBarcode","b1test","name"
152949320,"89579e3e-f762-11e1-a439-00145eb45e9a",14.078639,46.39963,1996,"7",7,"Slovenia","F778217","Trošt T.","ULBF-AGR","Julijske Alpe","FloVegSI-FLO",NA,"GBIF",NA,73,"Pyrenula nitida"
2237903311,"84d26682-f762-11e1-a439-00145eb45e9a",12.54132,54.97663,1995,"3",26,"Denmark","DMS-1037888","Vagn Alstrup",NA,"Møns Klint",NA,NA,"GBIF",NA,78,"Pyrenula nitida"
152949340,"89579e3e-f762-11e1-a439-00145eb45e9a",14.745284,45.599752,1995,"6",15,"Slovenia","F779413","Mayrhofer H., Batič F., Grube M., Suppan U.","ULBF-AGR",NA,"FloVegSI-FLO","Dolenjska","GBIF",NA,70,"Pyrenula nitida"
152949293,"89579e3e-f762-11e1-a439-00145eb45e9a",13.745342,46.499604,1995,"10",10,"Slovenia","F776179","Batič F., Surina B.","ULBF-AGR",NA,"FloVegSI-FLO",NA,"GBIF",NA,58,"Pyrenula nitida"
152949337,"89579e3e-f762-11e1-a439-00145eb45e9a",15.578428,46.499681,1995,"11",2,"Slovenia","F779281","Mayrhofer H.","ULBF-AGR",NA,"FloVegSI-FLO",NA,"GBIF",NA,67,"Pyrenula nitida"
1717231594,"8e93fad0-a705-11dc-80be-b8a03c50a862",23.4,53.23,1994,"3",29,"Poland",NA,"K. Kolanko","UoB-IB","Czołnowo",NA,"podlaskie","GBIF",NA,66,"Pyrenula nitida"
1212194294,"85739778-f762-11e1-a439-00145eb45e9a",13.3167,46.65,1994,"7",29,"Austria","47409","H. Sipman","B","Oesterreich, Kärnthen (Carinthia): Weissenbachklamm near Jadersdorf, NW of Hermagor. Alt. c. 900 m.","Lichen Herbarium Berlin",NA,"GBIF",NA,66,"Pyrenula nitida"
152949335,"89579e3e-f762-11e1-a439-00145eb45e9a",15.411784,46.499674,1993,"6",8,"Slovenia","F779190","Koch M., Mayrhofer H., Unger E., Wieser B.","ULBF-AGR",NA,"FloVegSI-FLO",NA,"GBIF",NA,39,"Pyrenula nitida"
1717231685,"8e93fad0-a705-11dc-80be-b8a03c50a862",23.1,53.96,1993,"8",9,"Poland",NA,"A. Matwiejuk","UoB-IB","res. Sernetki",NA,"podlaskie","GBIF",NA,64,"Pyrenula nitida"
125714478,"84cdd6d0-f762-11e1-a439-00145eb45e9a",12,55,1993,"9",18,"Denmark","2650","Mona Nissen","C","Zealand, Farum Lillevang","L","Zealand","GBIF",NA,82,"Pyrenula nitida"
1717231582,"8e93fad0-a705-11dc-80be-b8a03c50a862",23.29,53.51,1993,"10",21,"Poland",NA,"K. Kolanko","UoB-IB","res. Budzisk",NA,"podlaskie","GBIF",NA,64,"Pyrenula nitida"
152949272,"89579e3e-f762-11e1-a439-00145eb45e9a",15.245139,46.499666,1992,"8",27,"Slovenia","F774782","Koch M., Koch E.","ULBF-AGR",NA,"FloVegSI-FLO",NA,"GBIF",NA,42,"Pyrenula nitida"
