"key","datasetKey","decimalLongitude","decimalLatitude","year","month","day","country","locality","catalogNumber","recordedBy","stateProvince","institutionCode","collectionCode","DB","BBarcode"
2237881894,"84d26682-f762-11e1-a439-00145eb45e9a",9.451133,54.84274,1946,"7",10,"Denmark","Kollund","DMS-1019753","Ove Almborn",NA,NA,NA,"GBIF",NA
825521,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",9.4525,54.840556,1946,"7",20,"Denmark","Kollund","1087857","Ove Almborn","Jylland","LD","General","GBIF",NA
2237866387,"84d26682-f762-11e1-a439-00145eb45e9a",11.95582,54.83478,1943,"5",30,"Denmark","Virket Lyng","DMS-1004749","Mogens Skytte Christiansen",NA,NA,NA,"GBIF",NA
NA,NA,9.433333,54.583333,1943,NA,NA,"GERMANY","DEUTSCHLAND, Schleswig-Holstein: Steinholz bei Bollingstedt, an Esche.","97452","Saxen",NA,"BERLIN_DB",NA,"BERLIN_DB","B 60 0141452"
234005618,"905daf20-04fd-11df-8c28-b8a03c50a862",16.38088,51.07989,1929,"4",20,"Poland",NA,"40940","Wihan Grauleman[?]",NA,"UME","General","GBIF",NA
788551039,"aab0cf80-0c64-11dd-84d1-b8a03c50a862",15.86514,50.38506,1926,NA,NA,"Czechia","No locality information available","1308187","J. Suza","Královéhradecky kraj","LD","General","GBIF",NA
NA,NA,16.308917,50.082092,1926,"1926",NA,NA,"Czech Republic, Bohemia, near Potštejn","M-0302883","J. Suza",NA,"MUNICH_HTL",NA,"MUNICH_HTL",NA
442143202,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.838056,47.823334,1922,"8",20,"Germany","Schwarzwald: Niederböllen (Belchen), 650 m.","B 60 0024616 / 145640 / 90029","Lettau, G.",NA,"B","Blettaucoll","GBIF",NA
NA,NA,9.689979,48.799788,1922,"6.1922",NA,"Deutschland","Lorch am Rhein",NA,"G. Lettau",NA,"BERLIN_HTL",NA,"BERLIN_HTL",NA
NA,NA,10.254592,47.48486,1918,"13.7.1918",NA,"Deutschland","Allgäu, Tiefenberger Moos bei Sonthofen",NA,"G. Lettau",NA,"BERLIN_HTL",NA,"BERLIN_HTL",NA
442143211,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.828333,47.77639,1915,"10",31,"Germany","Schwarzwald: Bürchau - Elbenschwand (kleines Wiesental)","B 60 0030125 / 145847 / 90103","Lettau, G.",NA,"B","Blettaucoll","GBIF",NA
442143258,"8589cc8c-f762-11e1-a439-00145eb45e9a",8.008611,47.623333,1914,"6",14,"Germany","Schwarzwald: Hottingen - Hänner (bei Säckingen)","B 60 0111892 / 148498 / 91091","Lettau, G.",NA,"B","Blettaucoll","GBIF",NA
442143207,"8589cc8c-f762-11e1-a439-00145eb45e9a",7.646389,47.757221,1913,"11",23,"Germany","Baden: 4{a}) Obereggenen bei Kandern","B 60 0024618d / 149779 / 91549","Lettau, G.",NA,"B","Blettaucoll","GBIF",NA
