Barcode,Gattung,Epitheton,Collector(s),Collection number,Datum,Year,Loc,Hoehe,Long/lat,,,,,HTL_Notes,MPN_Notes,,,,,Status,MPN_Notes2
M-0302861,Punctelia,subrudecta,,2357,6.1873,1873,"Italy, Panover near Gorizia",,,,,,,,"Cannot find Panover…can find some Panovec, but on Slovenian side…use Gorizia?",,,,,Drop,
M-0302862,Pyrenula,nitida,J. Liška,252,,,"Slovakia, Nízke Tatry, Bystrá dolina",1220 m,,Lich. Solv. Exs. 252,,48.859171,19.604999,,from Google,,,,,Keep,
M-0302863,Pyrenula,nitida,J. Nowak,28,9.7.1970,1970,"Poland, Western Beskids, Beskid Żywiecki Mts, Śrubita forest near Rajcza (distr. Żywiec)",850 m,,Lich. Polon. Merid. Exs. 28,,49.404432,19.012672,,used Rezerwat przyrody Śrubita from Google,,,,,Keep,
M-0302864,Pyrenula,nitida,Kovár,,1898,1898,"Czech Republic, Moravia, Mt. Žákovahora, near Saar",880 m,,,,,,,trouble finding this one…,,,,,Drop,
M-0302865,Pyrenula,nitida,I. Pišút,103,27.4.1967,1967,"Slovakia, Vihorlat, Mt. Veža",850 m,,Lich. Slovak. Exs. 103,,48.919583,22.215278,,https://peakvisor.com/peak/veza.html,,,,,Keep,
M-0302866,Pyrenula,nitida,,,1853,1853,"Czech Republic, Boheia, Lichtenberg",,,,,,,,Cannot find Lichtenberg,,,,,Drop,
M-0302867,Pyrenula,nitida,,,1854,1854,"Czech Republic, Bohemia",,,,,,,,Pretty large area,,,,,Drop,
M-0302868,Pyrenula,nitida,V. Kutak,244,1934,1934,"Czech Republic, Bohemia, Riesengebirge, Spindelmühle",,,"Suza, Lich. Bohem. 244",,50.725278,15.608333,,Google,,,,,Keep,
M-0302869,Pyrenula,nitida,,,,,"Czech Republic, Szybeny",,,,,,,,Cannot find,,,,,Drop,
M-0302870,Pyrenula,nitida,,,,,"Czech Republic, Zegestow",,,,,49.375487,20.795574,"yes this is the right one - Slovakia, I only assumed it was Czech Republic","Can find in Żegiestów in Poland near Slovakia…probably the right place, just historically different political boundaries where this part of Poland was historically Czech?",,,,,Keep,
M-0302871,Pyrenula,nitidella,Auerswald,451,1858,1858,"Germany, Saxonia, Leipzig, Gaschitz",,,Rabenh. Lich. Europ. 451,,51.34419,12.386504,,,,,,,Keep,
M-0302872,Pyrenula,nitidella,J. Suza,62,1928,1928,"Czech Republic, Bohemia, Mt. Svidovec, Kosovská valley",600 m,,"Suza, Lich. Bohem. 62",,,,,trouble finding this one…,,,,,Drop,
M-0302873,Pyrenula,nitidella,A. Vezda,181,29.4.1958,1958,"Czech Republic, Moravia, Moravsky kras, Punkva valley, near Skalní mlyn",430 m,,"Vezda, Lich. Bohem. Exs. 181",,49.36359,16.708252,,Used Skalní Mlyn and Google,,,,,Keep,
M-0302874,Pyrenula,nitidella,A. Vezda,58,10.4.1960,1960,"Czech Republic, Moravia, Moravsky kras, Ricmanice, near Brno",,,,,49.258889,16.693333,,used Řícmanice and  Google,,,,,Keep,
M-0013391,Micarea,adnata,Arnold,,5.1892,1892,"Germany, Bavaria, Munich, Wiehling",,,,,48.15,11.583333,,"used Munich, cannot find Wiehling within Munich",,,,,Keep,
M-0013392,Micarea,adnata,Arnold,,5.1892,1892,"Germany, Bavaria, Munich, S of the Mentizschwaige",,,,,48.07373,11.550985,,"used Munich, likely Menterschwaige district of Untergiesing-Harlaching borough in Munich; placed a little south of the proposed tram stop.",,,,,Keep,
M-0302875,Micarea,adnata,Britzelmayr,174,,,"Germany, Bavaria, Oberbayern, Haspelmoor",,"Britzelmayr, Lich. Exs. 174",,,48.224572,11.098756,,,,,,,Keep,
M-0302876,Micarea,adnata,Britzelmayr,174 b,,,"Germany, Bavaria, Oberbayern, Haspelmoor",,"Britzelmayr, Lich. Exs. 174b",,,48.224572,11.098756,,,,,,,Keep,
M-0302877,Melanohalea,laciniatula,F. Schuhwerk,71,10.1968,1968,"Germany, Baden-Württemberg, Black Forest, near Hinterzarten",850 m,,,,47.904024,8.104946,,used Hinterzarten,,,,,Keep,
M-0302878,Melanohalea,laciniatula,J. Hillmann,2362,,,"Germany, Thuringia, near Oberhof",,,Krypt. Exs. 2362,,50.704353,10.727163,,used Oberhof,,,,,Keep,
M-0302879,Melanohalea,laciniatula,A. Vezda,,6.1965,1965,"Czech Republic, Moravia, Telč, near Vel. Parezity",600 m,,,,49.227981,15.384273,,used Camp Velkoparezity and Google,,,,,Keep,
M-0302880,Hypotrachyna,revoluta,A. Schröppel,,1.5.1953,1953,"Austria, Tyrol, Ausserfern, Vilstal near Rehbach",1000 m,,,,47.466667,10.5,,used Vilstal,,,,,Keep,
M-0302881,Hypotrachyna,revoluta,M. Steiner,4326,21.9.1960,1960,"Austria, Tyrol, Stubaier Alpen, Gschnitztal, near St. Magdalena",1230 m,,Crypt. Exs. Vindob. 4326,,47.05,11.366667,,Gschnitz,,,,,Drop,In GBIF as 788550919; drop this one.
M-0302882,Hypotrachyna,revoluta,M. Steiner,235,8.1963,1963,"Austria, Tyrol, Stubaier Alpen, Gschnitztal, near Martheierbach",1250 m,,Lich. Alp. 235,,47.05,11.366667,,Gschnitz,,,,,Drop,In GBIF as 788552832; drop this one.
M-0302883,Hypotrachyna,revoluta,J. Suza,25,1926,1926,"Czech Republic, Bohemia, near Potštejn",290 m,,"Suza, Lich. Bohem. 25",,50.082092,16.308917,,used coords on Google for Potštejn,,,,,Keep,
M-0302884,Hypotrachyna,revoluta,,,,,"Germany, Saxonia, near Görlitz",,,,,51.15,14.95,,used Gorlitz,,,,,Keep,
M-0302885,Hypotrachyna,revoluta,Körber,125,,,"Poland, Lower Silesia, Jelenia Góra (Hirschberg)",,,"Körb., Lich. Sel. Germ. 125",,50.903333,15.734444,,coords from Google,,,,,Keep,
