Barcode,type,Gen,Spec,Artname,Determinator,Year of determination,Collector(s),Vornummer,Collection number,Collection number add,Datum,Collecting year,decimalLatitude,decimalLongitude,MPN_Notes,Status,Loc (+ Hab),Habitat,Notes,Running nr,family,altebestimmungen,Country,Originaltext,Otherspecies,Exsiccate name,Exsiccate number,MTB,MTB-QU,MTB-RAST_UN,GRA-UN,LG,OW,BG,NS,LM,BM,edatum,Ablage Fungi,Etinummer,Higher Taxa,Exs abc,Exsiccate name long,Hoehe,Genus,Species,SpeciesAuthorteam,SpeciesBasionymAuthorteam,Rank,InfraEpi,BasionymAuthorteam,Authorteam,RefYear,Qualifier,QualifierRank,ParseName,BestNotes,Anmerkungen,TypusFk,SpecimenFamilie,HöTax,Fundort,DetermFk
B 60 0141053,,Opegrapha,ochrocheila,Opegrapha ochrocheila Nyl.,H. Sipman,2006,H. Sipman & D. Heinrich,,54625,,10. Juni,2006,53.284279,13.757626,,Keep,"DEUTSCHLAND, Brandenburg: Kr. Uckermark, NE of Templin. NSG Stromtal bei Gollmitz.
NSG Stromtal near Gollmitz. Alt. 55 m.",Deciduous forest on valley slope. On old Carpinus trunk.,,85846,,,GERMANY,,,,,,,,,13,E,53,N,"43,4","17,5",,,,,,,55 m,Opegrapha,ochrocheila,,,,,,,,,,Opegrapha ochrocheila Nyl.,,,,ROCCELLACEAE,LICHENES,"Brandenburg: Kr. Uckermark, NE of Templin. NSG Stromtal bei Gollmitz.
NSG Stromtal near Gollmitz.",2183
B 60 0190884,,Opegrapha,ochrocheila,Opegrapha ochrocheila,H. Sipman,2013,H. Sipman & D. Heinrich,,60571,,9-May,2013,53.257108,13.249893,,Keep,"GERMANY, Brandenburg: Uckermark, E-shore of lake Brückentinsee, NW of Rutenberg N of Lychen. Alt. 70 m.","Fagus-forest on W-facing slope. On base of Fraxinus trunk on lakeshore, near and facing  the water.",,183873,,,GERMANY,,,,,,,,,13,E,53,N,"15,2","15,6",,,0,,,,70 m,Opegrapha,ochrocheila,,,,,,,,,,Opegrapha ochrocheila,,,,ROCCELLACEAE,LICHENES,"Brandenburg: Uckermark, E-shore of lake Brückentinsee, NW of Rutenberg N of Lychen.",2183
,,Opegrapha,vermicellifera,Opegrapha vermicellifera (Kunze) J.R. Laundon,,,V. J. Grummann,,1181,,4-Jul,1929,47.636222,7.678033,,Keep,"DEUTSCHLAND, Baden-Württemberg: Haagen bei Lörrach, Röttler Wald.",Quercus.,,118852,,Opegrapha fuscella (Fr.) Almb.; Opegrapha hapaleoides Nyl.,GERMANY,,,,,,,,,7,E,47,N,"40,3",38,,,,,,,,Opegrapha,vermicellifera,,,,,,,,,,Opegrapha vermicellifera (Kunze) J.R. Laundon,,,,ROCCELLACEAE,LICHENES,"Baden-Württemberg: Haagen bei Lörrach, Röttler Wald.",
,,Opegrapha,vermicellifera,Opegrapha vermicellifera (Kunze) J.R. Laundon,,,V. J. Grummann,,1182,,4-Jul,1929,47.636222,7.678033,,Keep,"DEUTSCHLAND, Baden-Württemberg: Haagen bei Lörrach, Röttler Wald.",Quercus.,,118853,,Opegrapha fuscella (Fr.) Almb.; Opegrapha hapaleoides Nyl.,GERMANY,,,,,,,,,7,E,47,N,"40,3",38,,,,,,,,Opegrapha,vermicellifera,,,,,,,,,,Opegrapha vermicellifera (Kunze) J.R. Laundon,,,,ROCCELLACEAE,LICHENES,"Baden-Württemberg: Haagen bei Lörrach, Röttler Wald.",
,,Opegrapha,vermicellifera,Opegrapha vermicellifera (Kunze) J.R. Laundon,,,V. J. Grummann,,2186,,30-Jun,1936,54.234335,12.224164,,Keep,"DEUTSCHLAND, Mecklenburg-Vorpommern: Rostocker Heide westlich Graal.",alte Eiche.,,118671,,Opegrapha fuscella (Fr.) Almb.; Opegrapha hapaleoides Nyl.,GERMANY,,,,,,,,c.,12,E,54,N,14,12,,,,,,,,Opegrapha,vermicellifera,,,,,,,,,,Opegrapha vermicellifera (Kunze) J.R. Laundon,,,,ROCCELLACEAE,LICHENES,Mecklenburg-Vorpommern: Rostocker Heide westlich Graal.,
B 60 0174958,,Opegrapha,vermicellifera,Opegrapha vermicellifera,,,H. Breuer,,,,08. April,1961,47.705563,9.196558,,Keep,"DEUTSCHLAND, Baden-Württemberg: Bodensee, Insel Mainau.",,,123438,,"Opegrapha fuscella (Fr.) Alm, Opegrapha hapaleoides Nyl.",GERMANY,,,,,,,,,,,,,,,,,,,,,,Opegrapha,vermicellifera,,,,,,,,,,Opegrapha vermicellifera,,,,ROCCELLACEAE,LICHENES,"Baden-Württemberg: Bodensee, Insel Mainau.",
,,Opegrapha,vermicellifera,Opegrapha vermicellifera (Kunze) J.R. Laundon,H. Sipman,1991,H. Sipman,,25625,,15. sept.,1989,47.67829,12.819813,,Keep,"GERMANY, BAYERN. Berchtesgaden. Unterjettenberg. Alt. 550 m. Near margin of old deciduous forest on mountain slope with pasturefields.",,,38638,,,GERMANY,,,,,,,,,,,,,,,,,,,,,550 m,Opegrapha,vermicellifera,,,,,,,,,,Opegrapha vermicellifera (Kunze) J.R. Laundon,,,,ROCCELLACEAE,LICHENES,BAYERN. Berchtesgaden. Unterjettenberg.,2183
,,Opegrapha,vermicellifera,Opegrapha vermicellifera (Kunze) J.R. Laundon,H. Sipman,1997,H. Sipman,,42460,,23 Nov.,1997,53.266548,13.621052,near Ruin of Boitzenburg monastery,Keep,"GERMANY, Brandenburg: Uckermark, Boitzenburg: Tiergarten, around and E of medieval monastery ruins.",Open woodland with old trees. On trunk of old Carpinus near the ruins.,,54859,,,GERMANY,,,,,2847,2,,,,,,,,,,,,,,,,Opegrapha,vermicellifera,,,,,,,,,,Opegrapha vermicellifera (Kunze) J.R. Laundon,,,,ROCCELLACEAE,LICHENES,"GERMANY, Brandenburg: Uckermark, Boitzenburg: Tiergarten, around and E of medieval monastery ruins.",2183
,,Opegrapha,vermicellifera,Opegrapha vermicellifera (Kunze) J.R. Laundon,H. Sipman,2001,H. Sipman,,47491,,24-Apr,2001,53.209189,13.640471,,Keep,"GERMANY, Brandenburg, Landkr. Uckermark. Forested island on S-side of Kuhzer See, N. of Mittenwalde. Alt. c. 75 m.",On Ulmus treebase on W-facing bank along lakeshore.,,60949,,,GERMANY,,,,,2747,4,,,,,,,,,,,,,,,c. 75 m,Opegrapha,vermicellifera,,,,,,,,,,Opegrapha vermicellifera (Kunze) J.R. Laundon,,,,ROCCELLACEAE,LICHENES,"Brandenburg, Landkr. Uckermark. Forested island on S-side of Kuhzer See, N. of Mittenwalde.",2183
,,Opegrapha,vermicellifera,Opegrapha vermicellifera (Kunze) J.R. Laundon,H. Sipman,2001,H. Sipman,,47516,,24-Apr,2001,53.157172,13.844849,used Landhotel Gut Suckow,Keep,"GERMANY, Brandenburg, Landkr. Uckermark. Suckow, former estate. Alt. c. 50 m.","Former estate park, near houses. On Acer platanoides treetrunk in deciduous forest.",,60975,,,GERMANY,,,,,2849,1,,,,,,,,,,,,,,,c. 50 m,Opegrapha,vermicellifera,,,,,,,,,,Opegrapha vermicellifera (Kunze) J.R. Laundon,,,,ROCCELLACEAE,LICHENES,"Brandenburg, Landkr. Uckermark. Suckow, former estate.",2183
B 60 0163612,,Opegrapha,vermicellifera,Opegrapha vermicellifera,H. Sipman,2008,H. Sipman,,56908,,4-Apr,2008,53.411724,9.015511,,Keep,"DEUTSCHLAND, Niedersachsen: Landkr. Landkreis Rotenburg (Wümme). Osterwede, Brillitermoor. MTB 2520/3B2. Elev. 5 m.",On trunk of old Quercus tree in grassland near farm.,,103343,,,GERMANY,,,,,,,,,9,E,53,N,"01,5","25,1",,,,,,,5 m,Opegrapha,vermicellifera,,,,,,,,,,Opegrapha vermicellifera,,,,ROCCELLACEAE,LICHENES,"Niedersachsen: Landkr. Landkreis Rotenburg (Wümme). Osterwede, Brillitermoor. MTB 2520/3B2.",2183
,,Parmelia,submontana,Parmelia submontana,,,O. Behr,,10192,,1. Okt.,1956,49.566111,8.937222,,Keep,"DEUTSCHLAND, HESSEN. Krs. Erbach-Odenwald. Falkengesäß. Alt. 400 m.",Wege-Fraxinus.,,25629,,,GERMANY,,Parmelia sulcata,,,,,,,,,,,,,,,,,,,400 m,Parmelia,submontana,,,,,,,,,,Parmelia submontana,,,,PARMELIACEAE,LICHENES,HESSEN. Krs. Erbach-Odenwald. Falkengesäß.,
B 60 0190372,,Parmelia,submontana,Parmelia submontana Nádv.,H. Sipman,2012,H. Reznik,,,,Feb.,1960,48.642409,8.181628,Placed between Wittig Parkplatz and Omerskopf,Keep,"GERMANY, Baden-Württemberg: Nordschwarzwald, between Wittig and Omerskopf near Unterstmatt.","On old, isolated Fagus tree.",,179341,,,GERMANY,,,,,,,,c.,8,E,48,N,"10,5",38,,,0,,,,,Parmelia,submontana,,,,,,,,,,Parmelia submontana Nádv.,,,,PARMELIACEAE,LICHENES,"GERMANY, Baden-Württemberg: Nordschwarzwald, between Wittig and Omerskopf near Unterstmatt.",2183
B 60 0033509,NEOTYPE,Parmelina,quercina,Parmelina quercina (Willd.) Hale,A. Crespo,2006,J. Hillmann in herb. V. J. Grummann,,3803,,14-Jul,1926,47.863391,8.064515,,Keep,"DEUTSCHLAND, Baden-Württemberg: Schwarzwald, Fahrstrasse zwischen dem Jugendheim (nahe dem Feldberger Hof) und Bärental. Alt. ca. 1050 m.",An Eberesche.,Hb. Grummann 3717,116042,,Parmelia quercina (Willd.) Vain.; Parmelia tiliacea (Hoffm.) Ach.,GERMANY,,,,,,,,,,,,,,,,,,,,,ca. 1050 m,Parmelina,quercina,,,,,,,,,,Parmelina quercina (Willd.) Hale,,,NEO,PARMELIACEAE,LICHENES,"Baden-Württemberg: Schwarzwald, Fahrstrasse zwischen dem Jugendheim (nahe dem Feldberger Hof) und Bärental.",
,,Parmelina,quercina,Parmelina quercina (Willd.) Hale,,,J. Hillmann in herb. V. J. Grummann,,3713,,30-Jul,1935,47.49053,10.388048,Put between Bad Oberdorf and Hinterstein,Keep,"DEUTSCHLAND, Bayern: Allgäu, Fussweg Hinterstein-Bad Oberdorf.",,,118639,,Parmelia quercina (Willd.) Vain.; Parmelia tiliacea (Hoffm.) Ach.,GERMANY,,,,,,,,c.,10,E,47,N,22,30,,,,,,,,Parmelina,quercina,,,,,,,,,,Parmelina quercina (Willd.) Hale,,,,PARMELIACEAE,LICHENES,"Bayern: Allgäu, Fussweg Hinterstein-Bad Oberdorf.",
,,Parmelina,quercina,Parmelina quercina (Willd.) Hale,,,J. Hillmann in herb. V. J. Grummann,,3714,,4-Jul,1935,47.516667,10.283333,,Keep,"DEUTSCHLAND, Bayern: Allgäu, Sonthofen.",Tilia.,,118862,,Parmelia quercina (Willd.) Vain.; Parmelia tiliacea (Hoffm.) Ach.,GERMANY,,,,,,,,,,,,,,,,,,,,,,Parmelina,quercina,,,,,,,,,,Parmelina quercina (Willd.) Hale,,,,PARMELIACEAE,LICHENES,"Bayern: Allgäu, Sonthofen.",
,,Parmelina,quercina,Parmelina quercina (Willd.) Hale,,,V. J. Grummann,,5044,,1 Aug.,1956,50.193278,6.44422,,Keep,"DEUTSCHLAND: Eifel, Kr. Prüm, Rommersheim.",Acer pseudoplatanus.,,115579,,Parmelia quercina (Willd.) Vain.; Parmelia tiliacea (Hoffm.) Ach.,GERMANY,,,,,,,,,6,E,50,N,26,12,,,,,,,,Parmelina,quercina,,,,,,,,,,Parmelina quercina (Willd.) Hale,,,,PARMELIACEAE,LICHENES,"Eifel, Kr. Prüm, Rommersheim.",
,,Parmotrema,perlatum,Parmotrema perlatum (Huds.) M. Choisy,,,V. J. Grummann,,1236,,4-Jul,1929,47.636222,7.678033,,Keep,"DEUTSCHLAND, Baden-Württemberg: Haagen bei Lörrach, Röttler Wald.",Quercus.,,118854,,Parmelia trichotera Hue,GERMANY,,,,,,,,,7,E,47,N,"40,3",38,,,,,,,,Parmotrema,perlatum,,,,,,,,,,Parmotrema perlatum (Huds.) M. Choisy,,,,PARMELIACEAE,LICHENES,"Baden-Württemberg: Haagen bei Lörrach, Röttler Wald.",
B 60 0190784,,Parmotrema,perlatum,Parmotrema perlatum (Huds.) M. Choisy,O. Klement,,H. Reznik,,,,28 Nov.,1960,48.735182,8.389004,placed a little north of Reichental,Keep,"GERMANY, Baden-Württemberg: Nordschwarzwald, above Reichental.",S-facing boulder field of Buntsandstein quartzite.,,179383,,"Parmeliaarnoldii, Parmelia perlata",GERMANY,,,,,,,,c.,8,E,48,N,23,44,,,0,,,,,Parmotrema,perlatum,,,,,,,,,,Parmotrema perlatum (Huds.) M. Choisy,,,,PARMELIACEAE,LICHENES,"GERMANY, Baden-Württemberg: Nordschwarzwald, above Reichental.",
B 60 0190612,,Parmotrema,perlatum,Parmotrema perlatum (Huds.) M. Choisy,,,H. Reznik,,,,Oct.,1961,49.54795,8.973013,,Keep,"GERMANY, Baden-Württemberg: Nordbaden, Odenwald, Gammelsbachtal valley between Beerfelden and Gammelsbach.",On Acer pseudoplatanus tree.,,179385,,Parmelia trichotera,GERMANY,,,,,,,,,8,E,49,N,58,32,,,0,,,,,Parmotrema,perlatum,,,,,,,,,,Parmotrema perlatum (Huds.) M. Choisy,,,,PARMELIACEAE,LICHENES,"GERMANY, Baden-Württemberg: Nordbaden, Odenwald, Gammelsbachtal valley between Beerfelden and Gammelsbach.",
B 60 0190617,,Parmotrema,perlatum,Parmotrema perlatum (Huds.) M. Choisy,,,H. Reznik,,,,Oct.,1961,49.54795,8.973013,,Keep,"GERMANY, Baden-Württemberg: Nordbaden, Odenwald, Gammelsbachtal valley between Beerfelden and Gammelsbach.",On Acer pseudoplatanus tree.,,179386,,Parmelia cetrarioides,GERMANY,,,,,,,,,8,E,49,N,58,32,,,0,,,,,Parmotrema,perlatum,,,,,,,,,,Parmotrema perlatum (Huds.) M. Choisy,,,,PARMELIACEAE,LICHENES,"GERMANY, Baden-Württemberg: Nordbaden, Odenwald, Gammelsbachtal valley between Beerfelden and Gammelsbach.",
B 60 0174247,,Parmotrema,perlatum,Parmotrema perlatum,I. Franzen,,I. Franzen,,,,19. April,2001,51.092065,7.079371,,Keep,"DEUTSCHLAND, Nordrhein-Westfalen: Burscheid-Nagelsbaum, Rheinisch-Bergischer Kreis. Elev. 150 m, Rechtswert: 2575429, Hochwert: 5662286.","Trägerbaum: Acer platanoides, Baum Nr. 49087.",,114925,,Parmotrema chinense,GERMANY,,,,,4908,1,,,,,,,,,,,,,,,"150 m, Rechtswert: 2575429, Hochwert: 5662286",Parmotrema,perlatum,,,,,,,,,,Parmotrema perlatum,,,,PARMELIACEAE,LICHENES,"Nordrhein-Westfalen: Burscheid-Nagelsbaum, Rheinisch-Bergischer Kreis.",
B 60 0189095,,Parmotrema,perlatum,Parmotrema perlatum,H. Sipman,2012,H. Sipman & K. Rux,,60292,,13 Apr.,2012,52.389144,13.18896,,Keep,"GERMANY, Brandenburg: Stahnsdorf, Südwest-Kirchhof, main entrance road. Alt. 50 m.",On trunk of mature tree in parkland.,,178256,,,GERMANY,,,,,,,,,13,E,52,N,"11,2","23,3",,,0,,,,50 m,Parmotrema,perlatum,,,,,,,,,,Parmotrema perlatum,,,,PARMELIACEAE,LICHENES,"Brandenburg: Stahnsdorf, Südwest-Kirchhof, main entrance road.",2183
,,Pertusaria,hymenea,Pertusaria hymenea (Ach.) Schaer.,H. Sipman,1991,H. Sipman,,25729,,17. sept.,1989,47.690498,13.021707,,Keep,"GERMANY, BAYERN. Berchtesgaden, Marktschellenberg. Alt. 950 m. Along trail to Salzburger Hochthron, on Hochbartkogel. E-facing slope with remnants of old Fagus/Acer-forest, Picea and Abies. On Acer.",,,38741,,,GERMANY,,,,,,,,,,,,,,,,,,,,,950 m,Pertusaria,hymenea,,,,,,,,,,Pertusaria hymenea (Ach.) Schaer.,,,,PERTUSARIACEAE,LICHENES,"BAYERN. Berchtesgaden, Marktschellenberg.",2183
,,Pertusaria,hymenea,Pertusaria hymenaea,H. Sipman,2008,H. Sipman,,,,4-Apr,2008,53.42196,9.005089,,Keep,"DEUTSCHLAND, Niedersachsen: Landkr. Landkreis Rotenburg (Wümme). Franzhorn forest N of Brillit, Naturwald area. MTB 2520/3B1. Elev. 20-40 m","On Carpinus trunk in deciduous, mature, humid forest on loamy soil.",,103362,,,GERMANY,,,,,,,,,9,E,53,N,0,25,,,,,,,20-40 m,Pertusaria,hymenaea,,,,,,,,,,Pertusaria hymenaea,,,,PERTUSARIACEAE,LICHENES,"Niedersachsen: Landkr. Landkreis Rotenburg (Wümme). Franzhorn forest N of Brillit, Naturwald area. MTB 2520/3B1.",2183
B 60 0163632,,Phaeographis,inusta,Phaeographis inusta,H. Sipman,2008,H. Sipman,,56928,,4-Apr,2008,53.42196,9.005089,,Keep,"DEUTSCHLAND, Niedersachsen: Landkr. Landkreis Rotenburg (Wümme). Franzhorn forest N of Brillit, Naturwald area. MTB 2520/3B1. Elev. 20-40 m","On Carpinus trunk in deciduous, mature, humid forest on loamy soil.",,103363,,,GERMANY,,,,,,,,,9,E,53,N,0,25,,,,,,,20-40 m,Phaeographis,inusta,,,,,,,,,,Phaeographis inusta,,,,GRAPHIDACEAE,LICHENES,"Niedersachsen: Landkr. Landkreis Rotenburg (Wümme). Franzhorn forest N of Brillit, Naturwald area. MTB 2520/3B1.",2183
B 60 0163635,,Phaeographis,inusta,Phaeographis inusta,H. Sipman,2008,H. Sipman,,56936,,5-Apr,2008,53.421505,9.49653,,Keep,"DEUTSCHLAND, Niedersachsen: Landkr. Stade. Braken NSG & FFH, S of Harsefeld. MTB 2522/4B5. Elev. 50 m.","On Carpinus trunk in humid deciduous, mature forest on loamy soil.",,103371,,,GERMANY,,,,,,,,,9,E,53,N,29,25,,,,,,,50 m,Phaeographis,inusta,,,,,,,,,,Phaeographis inusta,,,,GRAPHIDACEAE,LICHENES,"Niedersachsen: Landkr. Stade. Braken NSG & FFH, S of Harsefeld. MTB 2522/4B5.",2183
,,Porina,leptalea,Porina leptalea (Durieu & Mont.) A.L. Sm.,R. Cezanne,1998,O. Behr,,7612,,6. Okt.,1953,49.863291,9.341387,Used Dammbach,Keep,"DEUTSCHLAND, BADEN. Spessart. Dammbachtal: feuchter Laubwald. Alt. 250 m.",Fagus.,,24109,,"Porina lectissima A. L. Sm., det. Behr; Porina cf. carpinea Pers., det. Klement",GERMANY,,"Pertusaria henrici (Harm.) Erichs. var, granosa Erichs., det. Klement",,,,,,,,,,,,,,,,,,,250 m,Porina,leptalea,,,,,,,,,,Porina leptalea (Durieu & Mont.) A.L. Sm.,,,,TRICHOTHELIACEAE,LICHENES,BADEN. Spessart. Dammbachtal: feuchter Laubwald.,
,,Porina,leptalea,Porina leptalea,H. Sipman,2008,H. Sipman,,,,4-Apr,2008,53.42196,9.005089,,Keep,"DEUTSCHLAND, Niedersachsen: Landkr. Landkreis Rotenburg (Wümme). Franzhorn forest N of Brillit, Naturwald area. MTB 2520/3B1. Elev. 20-40 m","On Carpinus trunk in deciduous, mature, humid forest on loamy soil.",,103361,,,GERMANY,,,,,,,,,9,E,53,N,0,25,,,,,,,20-40 m,Porina,leptalea,,,,,,,,,,Porina leptalea,,,,TRICHOTHELIACEAE,LICHENES,"Niedersachsen: Landkr. Landkreis Rotenburg (Wümme). Franzhorn forest N of Brillit, Naturwald area. MTB 2520/3B1.",2183
B 60 0163636,,Porina,leptalea,Porina leptalea,H. Sipman,2008,H. Sipman,,56938,,5-Apr,2008,53.421505,9.49653,,Keep,"DEUTSCHLAND, Niedersachsen: Landkr. Stade. Braken NSG & FFH, S of Harsefeld. MTB 2522/4B5. Elev. 50 m.","On Carpinus trunk in humid deciduous, mature forest on loamy soil.",,103373,,,GERMANY,,,,,,,,,9,E,53,N,29,25,,,,,,,50 m,Porina,leptalea,,,,,,,,,,Porina leptalea,,,,TRICHOTHELIACEAE,LICHENES,"Niedersachsen: Landkr. Stade. Braken NSG & FFH, S of Harsefeld. MTB 2522/4B5.",2183
B 60 0024631,,Punctelia,jeckeri,Punctelia jeckeri,P. Clerc,2014,Th. Müller in herb. V. J. Grummann,,4713,,26 Apr.,1951,50.758308,6.777534,,Keep,"DEUTSCHLAND, Nordrhein-Westfalen: Kreis Euskirchen, Friesheim.",Quercus robur.,,117991,,Parmelia revoluta (Flot.) Flk.,GERMANY,,,,,,,,,6,E,50,N,46,45,,,,,,,,Hypotrachyna,revoluta,,,,,,,,,,Hypotrachyna revoluta (Flot.),,,,PARMELIACEAE,LICHENES,"Rheinland, Friesheim.",
B 60 0024662,,Punctelia,jeckeri,Punctelia jeckeri,P. Clerc,2014,Th. Müller,,,,26 Apr.,1951,50.741718,6.826503,,Keep,"DEUTSCHLAND, Nordrhein-Westfalen: Kreis Euskirchen, Klein Vernich.","Wald, Quercus, häufig.",,191538,,Parmelia revoluta (Flot.) Flk.,GERMANY,,,,,,,,,6,E,50,N,46,45,,,0,,,,,Hypotrachyna,revoluta,,,,,,,,,,,,,,PARMELIACEAE,LICHENES,"Rheinland, Friesheim.",
B 60 0176549,,Punctelia,jeckeri,Punctelia jeckeri,H. Sipman,2009,H. Sipman,,58267,,18 Oct.,2009,51.916936,14.491847,,Keep,"DEUTSCHLAND, Brandenburg: Landkreis Spree-Neisse, c. 2.5 km NE of Tauer along road to Bärenklau, near Krolls Lauch. Alt. 80 m.",Dwarfed Betula shrubs along forest track on sandy plain.,med. C+ red.,120972,,,GERMANY,,,,,,,,,14,E,51,N,"31,9","55,6",,,,,,,80 m,Punctelia,jeckeri,,,,,,,,,,Punctelia jeckeri,,,,PARMELIACEAE,LICHENES,"Brandenburg: Landkreis Spree-Neisse, c. 2.5 km NE of Tauer along road to Bärenklau, near Krolls Lauch.",2183
B 60 0199301,,Punctelia,jeckeri,Punctelia jeckeri (Roumeguère) Kalb,Walter Obermayer,,Walter Obermayer,,13202,,9-Aug,2014,47.777771,10.645779,,Keep,"GERMANY, Bayern (=Bavaria), Schwaben (=Swabia), Alpenvorland, 2.2 km east of the centre of Marktoberdorf. Alt. 770 m.","Edge of a forest, on bark of Picea abies (west-exposed).",,193561,,,GERMANY,,,"Obermayer, Lichenotheca Graecensis",436,,,,,10,E,47,N,"388,392","468,625",,,0,,,Fasc. 22 (No. 421-440),,,,,,,,,,,,0,,,,,,,,0
,,Punctelia,subrudecta,Punctelia subrudecta (Nyl.) Krog,,,V. J. Grummann,,1159,,4-Jul,1929,47.636222,7.678033,,Keep,"DEUTSCHLAND, Baden-Württemberg: Haagen bei Lörrach, Röttler Wald.",Nussbaum.,,118851,,Parmelia dubia (Wulf.) Schaer.,GERMANY,,,,,,,,,7,E,47,N,"40,3",38,,,,,,,,Punctelia,subrudecta,,,,,,,,,,Punctelia subrudecta (Nyl.) Krog,,,,PARMELIACEAE,LICHENES,"Baden-Württemberg: Haagen bei Lörrach, Röttler Wald.",
B 60 0141433,,Punctelia,subrudecta,Punctelia subrudecta,,,Th. Müller,,143,,17. April,1957,49.925605,6.45652,In GBIF Senckenberg but without collector but from same date,Drop,"DEUTSCHLAND, Rheinland-Pfalz: Kr. Bitburg, Dockendorf, an Pyrus malus.",,,97687,,Parmelia dubia (Wulf.) Schaer.,GERMANY,,,,,,,,,,,,,,,,,,,,,,Punctelia,subrudecta,,,,,,,,,,Punctelia subrudecta,,,,PARMELIACEAE,LICHENES,"Rheinland-Pfalz: Kr. Bitburg, Dockendorf, an Pyrus malus.",
B 60 0141434,,Punctelia,subrudecta,Punctelia subrudecta,,,H. Breuer,,143,,März,1958,49.855731,6.444977,,Keep,"DEUTSCHLAND, Rheinland-Pfalz: Kr. Bitburg, Irrel, Wasserfälle.",,,97686,,Parmelia dubia (Wulf.) Schaer.,GERMANY,,,,,6104,,,,,,,,,,,,,,,,,Punctelia,subrudecta,,,,,,,,,,Punctelia subrudecta,,,,PARMELIACEAE,LICHENES,"Rheinland-Pfalz: Kr. Bitburg, Irrel, Wasserfälle.",
B 60 0174499,,Punctelia,subrudecta,Punctelia subrudecta (Nyl.) Krog,,,H. Reznik,,,,Mai  .,1959,49.276059,8.564595,,Keep,"GERMANY, Baden-Württemberg: Nordbaden, Oberrhein-Ebene, Quercus im Kiefernwald südlich Reilingen.",K 9.,,178712,,"Parmelia dubia, Parmelia borreri",GERMANY,,,,,,,,,8,E,49,N,33,18,,,0,,,,,Punctelia,subrudecta,,,,,,,,,,Punctelia subrudecta (Nyl.) Krog,,,,PARMELIACEAE,LICHENES,"GERMANY, Baden-Württemberg: Nordbaden, Oberrhein-Ebene, Quercus im Kiefernwald südlich Reilingen.",
B 60 0174593,,Punctelia,subrudecta,Punctelia subrudecta (Nyl.) Krog,,,H. Reznik,,,,2. Okt.,1960,49.283333,8.533333,,Keep,"GERMANY, Baden-Württemberg: Nordbaden, Hubwald near Neu-Lussheim.",auf Pinus und Quercus.,,178700,,"Parmelia dubia (Wulf) Schaer., Parmelia borreri Ach.",GERMANY,,,,,,,,c.,8,E,49,N,32,17,,,0,,,,,Punctelia,subrudecta,,,,,,,,,,Punctelia subrudecta (Nyl.) Krog,,,,PARMELIACEAE,LICHENES,"GERMANY, Baden-Württemberg: Nordbaden, Hubwald near Neu-Lussheim.",
B 60 0174500,,Punctelia,subrudecta,Punctelia subrudecta (Nyl.) Krog,,,H. Reznik,,,,07. Febr.,1960,49.448729,8.672248,Used Dossenheim,Keep,"GERMANY, Baden-Württemberg: Nordbaden, Odenwald - Bergstraße, Kirchberg bei Dossenheim, Eichen auf dem Gipfelplateau. Alt. 320 m.",,,178727,,"Parmelia dubia, Parmelia borreri, rev. O. Klement",GERMANY,,,,,,,,c.,8,E,49,N,42,27,,,0,,,,320 m,Punctelia,subrudecta,,,,,,,,,,Punctelia subrudecta (Nyl.) Krog,,,,PARMELIACEAE,LICHENES,"Baden-Württemberg: Nordbaden, Odenwald - Bergstraße, Kirchberg bei Dossenheim, Eichen auf dem Gipfelplateau.",
B 60 0174497,,Punctelia,subrudecta,Punctelia subrudecta (Nyl.) Krog,H. Reznik,,P. Martens,,,,24. Febr.,1960,49.442806,8.752367,,Keep,"GERMANY, Baden-Württemberg: Nordbaden, Odenwald, Peterstal bei Heidelberg.",auf Apfelbäumen.,,178709,,"Parmelia dubia (Wulf) Schaer. var. ulophylla, Parmelia borreri Ach.",GERMANY,,,,,,,,c.,8,E,49,N,45,26,,,0,,,,,Punctelia,subrudecta,,,,,,,,,,Punctelia subrudecta (Nyl.) Krog,,,,PARMELIACEAE,LICHENES,"GERMANY, Baden-Württemberg: Nordbaden, Odenwald, Peterstal bei Heidelberg.",
B 60 0174498,,Punctelia,subrudecta,Punctelia subrudecta (Nyl.) Krog,,,H. Reznik,,,,01. Febr.,1960,49.469688,8.712455,,Keep,"GERMANY, Baden-Württemberg: Nordbaden, Odenwald, Wendenkopf bei Schriesheim an der Bergstraße.",auf alten Eichen am Gipfel.,,178710,,"Parmelia dubia (Wulf) Schaer., Parmelia borreri Ach.",GERMANY,,,,,,,,c.,8,E,49,N,42,28,,,0,,,,,Punctelia,subrudecta,,,,,,,,,,Punctelia subrudecta (Nyl.) Krog,,,,PARMELIACEAE,LICHENES,"GERMANY, Baden-Württemberg: Nordbaden, Odenwald, Wendenkopf bei Schriesheim an der Bergstraße.",
