Barcode,type,Gen,Spec,Artname,Determinator,Year of determination,Collector(s),Vornummer,Collection number,Collection number add,Datum,Collecting year,decimalLatitude,decimalLongitude,MPN_Notes,Status,Loc (+ Hab),Habitat,Notes,Running nr,family,altebestimmungen,Country,Originaltext,Otherspecies,Exsiccate name,Exsiccate number,MTB,MTB-QU,MTB-RAST_UN,GRA-UN,LG,OW,BG,NS,LM,BM,edatum,Ablage Fungi,Etinummer,Higher Taxa,Exs abc,Exsiccate name long,Hoehe,Genus,Species,SpeciesAuthorteam,SpeciesBasionymAuthorteam,Rank,InfraEpi,BasionymAuthorteam,Authorteam,RefYear,Qualifier,QualifierRank,ParseName,BestNotes,Anmerkungen,TypusFk,SpecimenFamilie,HöTax,Fundort,DetermFk
B 60 0141334,,Diploicia,canescens,Diploicia canescens,,,Th. Müller,,540,,16. Aug.,1959,50.735849,6.826539,put on Erft river in Vernich (Grossvernich),Keep,"DEUTSCHLAND, Nordrhein-Westfalen: Kr. Euskirchen, Vernich, Kopfweide, Erftufer. Alt. 120 m ü. M.",,,97397,,Buellia canescens (Dicks.) De Not.,GERMANY,,,,,,,,,,,,,,,,,,,,,120 m ü. M,Diploicia,canescens,,,,,,,,,,Diploicia canescens,,,,PHYSCIACEAE,LICHENES,"Nordrhein-Westfalen: Kr. Euskirchen, Vernich, Kopfweide, Erftufer.",
B 60 0159140,,Diploicia,canescens,Diploicia canescens (J.Dicks.) A. Massal.,,,Th. Müller,,,,Dezember,1963,50.671785,6.795323,,Keep,"DEUTSCHLAND, Nordrhein-Westfalen: Kl. Vernich, Kreis Euskirchen, Erft-Ufer, 120 m s.m.","Kopfweide, Salix alba.",,107205,,Buellia canescens (Dicks.) de Not.,GERMANY,,,,,,,,,,,,,,,,,,,,,,Diploicia,canescens,,,,,,,,,,Diploicia canescens (J.Dicks.) A. Massal.,,,,PHYSCIACEAE,LICHENES,"Nordrhein-Westfalen: Kl. Vernich, Kreis Euskirchen, Erft-Ufer, 120 m s.m.",
B 60 0141333,,Diploicia,canescens,Diploicia canescens,,,H. Breuer,,,,11. April,1964,50.553692,6.760524,,Keep,"DEUTSCHLAND, Nordrhein-Westfalen: Münstereifel, Stadtmauer.",,,97398,,Buellia canescens (Dicks.) De Not.,GERMANY,,,,,,,,,,,,,,,,,,,,,,Diploicia,canescens,,,,,,,,,,Diploicia canescens,,,,PHYSCIACEAE,LICHENES,"Nordrhein-Westfalen: Münstereifel, Stadtmauer.",
B 60 0130482,,Diploicia,canescens,Diploicia canescens (Dicks.) A. Massal.,H. Sipman,2005,H. Sipman,,53556,,5-May,2005,50.216805,6.637707,,Keep,"GERMANY, Rheinland-Pfalz, Kr. Daun: Wöllersberg, N of Lissingen near Gerolstein. Alt. c. 400 m.","On exposed, S-facing lava rock in grassland slope.",,67735,,,GERMANY,,,,,5705,4,,,6,E,50,N,"37,4","13,3",,,,,,,c. 400 m,Diploicia,canescens,,,,,,,,,,Diploicia canescens (Dicks.) A. Massal.,,,,PHYSCIACEAE,LICHENES,"Rheinland-Pfalz, Kr. Daun: Wöllersberg, N of Lissingen near Gerolstein.",2183
B 60 0141266,,Fellhanera,bouteillei,Fellhanera bouteillei,O. Klement,,Th. Müller,347/,458,,,1954,50.076884,6.798316,,Keep,"DEUTSCHLAND, Rheinland-Pfalz: Horngraben bei Manderscheid.",,,97419,,Catillaria bouteillei (Desm.) Zahlbr.,GERMANY,,Bacidia chlorococca (Gr.) Lett.,,,,,,,,,,,,,,,,,,,,Fellhanera,bouteillei,,,,,,,,,,Fellhanera bouteillei,,,,PILOCARPACEAE,LICHENES,Rheinland-Pfalz: Horngraben bei Manderscheid.,
B 60 0129954,,Fellhanera,bouteillei,Fellhanera bouteillei,A. Aptroot,2005,H. Sipman,,53488,,7-May,2005,50.241247,6.611453,,Keep,"GERMANY, Rheinland-Pfalz, Kr. Daun: Müllenborn NW of Gerolstein, Felssturz area. Alt. ca. 400 m.","Wooded slope with quartzite outcrops. On Picea twigs at margin of young, dense plantation.",ster.,67666,,Fellhanera viridisorediata Aptroot et al.,GERMANY,,,,,5705,4,,c.,6,E,50,N,0,0,,,,,,,ca. 400 m,Fellhanera,bouteillei,,,,,,,,,,Fellhanera bouteillei,,,,PILOCARPACEAE,LICHENES,"Rheinland-Pfalz, Kr. Daun: Müllenborn NW of Gerolstein, Felssturz area.",2280
B 60 0148909,,Fellhanera,bouteillei,Fellhanera bouteillei,H. Sipman,2007,"H. Sipman, A. Aptroot & D. Heinrich",,55042,,24-Mar,2007,53.052289,13.81462,,Keep,"GERMANY, Brandenburg: Landkr. Uckermark. NSG Poratzer Moränenlandschaft. W of Luisenau. Alt. 75 m.",Young oak trees between lake and pasture; on boulder.,,99034,,,GERMANY,,,,,2948,4,,ca.,13,E,53,N,"46,1","02,9",,,,,,,75 m,Fellhanera,bouteillei,,,,,,,,,,Fellhanera bouteillei,,,,PILOCARPACEAE,LICHENES,Brandenburg: Landkr. Uckermark. NSG Poratzer Moränenlandschaft. W of Luisenau.,2183
,,Flavoparmelia,caperata,Flavoparmelia caperata (L.) Hale,,,,Grumm-,3718,,Nov.,1927,51.249675,14.367407,,Keep,"DEUTSCHLAND, Sachsen: Oberlausitz, Quoos bei Radibor.",Eichen.,,119881,,Parmelia caperata (L.) Ach.,GERMANY,,,"Schade, Lich. sax. exs.",356,,,,,,,,,,,,,,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata (L.) Hale,,,,PARMELIACEAE,LICHENES,"Sachsen: Oberlausitz, Quoos bei Radibor.",
,,Flavoparmelia,caperata,Flavoparmelia caperata (L.) Hale,,,V. J. Grummann,,739,,22-Jul,1928,54.436733,13.574067,,Keep,"DEUTSCHLAND, Mecklenburg-Vorpommern: Rügen, Prora bei Binz.",Betula.,,117292,,Parmelia caperata (L.) Ach.,GERMANY,,,,,,,,,,,,,,,,,,,,,,Flavoparmelia,caperata,,,,,,,,,,Flavoparmelia caperata (L.) Hale,,,,PARMELIACEAE,LICHENES,"Mecklenburg-Vorpommern: Rügen, Prora bei Binz.",
,,Flavoparmelia,caperata,Flavoparmelia caperata f. subglauca (Nyl.),,,V. J. Grummann,,2177,,5-Jul,1936,54.260513,12.269719,,Keep,"DEUTSCHLAND, Mecklenburg-Vorpommern: Rostocker Heide, bei Müritz.",Rotbuche.,,118985,,Parmelia caperata f. subglauca (Nyl.) Harm.,GERMANY,,,,,,,,c.,12,E,54,N,14,12,,,,,,,,Flavoparmelia,caperata,,,f.,subglauca,,Nyl.,,,,Flavoparmelia caperata subglauca (Nyl.),,,,PARMELIACEAE,LICHENES,"Mecklenburg-Vorpommern: Rostocker Heide, bei Müritz.",
